Index,Route,Longitude,Latitude,Sum_Accidents,Date,Time,Hour,Temperature,Temp_Max,Temp_Min,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,EventBefore,Event,ConditionBefore,Conditions,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Operation,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,Pavement_Width,Pavement_Type,Prediction,Probability,Log_Mile
1155,33SR029001,-85.316172,35.056969,31,2/25/19,4:00,4,38.36,55.45,36.08,22.68,0.53,2,0,2.83,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,2,2,6,6,13,1,12,36,18,,,0.171
1698,3301122001,-85.151563,35.040925,26,2/25/19,6:00,6,36.66,54.87,35.95,23.41,0.58,2,0,4.03,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,18,4,14,24,15,,,0.271
5153,33I0024002,-85.237709,35.008661,127,2/25/19,21:00,21,45.42,55.09,34.66,30.55,0.56,2,0,10,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,2,2,6,7,2,1,11,36,18,,,12.981
5849,33SR320001,-85.153227,35.008538,27,2/25/19,23:00,23,44.03,55,34.78,27.4,0.52,2,0,10,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,2,0,2,4,4,21,1,14,22,15,,,3.383
5558,33I0124001,-85.314339,35.049113,32,2/25/19,22:00,22,45.07,55.27,36.05,29.88,0.55,2,0,10,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,2,2,2,4,6,2,1,11,24,15,,,1.543
667,3305770001,-85.231362,35.007176,31,2/25/19,2:00,2,40.67,55.22,35.69,25.96,0.55,2,0,2.19,0.2,rain,0.0003,0.0019,1551128400,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,7,0,1,2,3,18,4,16,36,15,,,0.751
1316,3304417001,-85.292119,35.039775,44,2/25/19,5:00,5,38.39,55.27,35.82,24.24,0.56,2,0,3.07,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,18,4,16,36,15,,,1.125
1284,330C359001,-85.21546,35.009932,54,2/25/19,5:00,5,38.14,55.13,35.75,24.62,0.58,2,0,2.95,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,1,2,0,2,3,3,12,4,19,34,15,,,0.083
1949,33I0124001,-85.318217,35.039377,26,2/25/19,7:00,7,36.1,55.37,36.1,18.71,0.49,2,0,2.34,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,2,2,6,6,2,1,11,36,15,,,0.763
165,330B220001,-85.222513,35.010366,32,2/25/19,0:00,0,53.28,60.8,45.65,49.97,0.89,2,0,6.27,0.35,rain,0.0141,0.1457,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,7,0,2,2,2,12,4,19,26,15,,,0.102
581,3304417001,-85.292119,35.039775,44,2/25/19,2:00,2,40.77,55.39,36.02,25.11,0.53,2,0,2.78,0.2,rain,0.0003,0.0019,1551128400,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,18,4,16,36,15,,,1.125
2366,33I0075001,-85.177674,35.019094,32,2/25/19,9:00,9,36.91,55,34.73,20.97,0.52,2,0,5.41,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,2,2,7,8,2,1,11,48,18,,,3.604
1354,33I0024002,-85.31139,35.029438,36,2/25/19,5:00,5,38.71,55.37,36.15,22.69,0.52,2,0,1.94,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,fog,Mostly Cloudy,Foggy,0,0,0,1,0,0,2,2,2,2,6,8,2,1,11,36,18,,,8.032
3646,3303552001,-85.286955,35.046753,27,2/25/19,14:00,14,52.38,55.36,34.44,25.43,0.35,2,0,10,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,4,4,18,4,16,22,15,,,1.365
5433,33SR320001,-85.173781,35.017884,67,2/25/19,22:00,22,44.5,54.99,34.74,30.15,0.57,2,0,10,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,2,0,2,4,5,21,1,14,24,15,,,1.978
5095,33I0075001,-85.201076,35.007825,29,2/25/19,20:00,20,46.61,55.05,34.69,30.92,0.54,2,0,10,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,4,2,2,8,8,2,1,11,48,18,,,1.976
4528,33SR002001,-85.183432,35.031699,38,2/25/19,18:00,18,51.54,54.72,34.42,30.86,0.45,2,0,10,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,4,5,13,1,14,24,15,,,16.897
5878,33I0024002,-85.252069,35.014338,26,2/25/19,23:00,23,44.29,54.74,34.58,27.48,0.51,2,0,10,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,0,2,2,6,6,2,1,11,36,18,,,12.072
5455,33I0075001,-85.111622,35.073807,51,2/25/19,22:00,22,43.68,53.97,34.74,29.7,0.58,2,0,10,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,0,2,2,8,10,2,1,11,48,18,,,8.969
4890,33SR029001,-85.153375,35.28178,26,2/25/19,19:00,19,46.6,55.09,33.17,30.33,0.53,2,0,10,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,2,2,4,5,13,1,12,24,15,,,19.512
439,330A343001,-85.312571,35.046047,29,2/25/19,1:00,1,44.02,55.4,36.21,20.79,0.39,2,0,2.25,0.2,rain,0.0003,0.0019,1551128400,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,2,2,12,4,19,20,15,,,0.004
