BLM,ELM,ID_NUMBER,ROW ,No. Lns.,Spd_Limit,Terrain,Land_Use,Illum,Operation,AccCtrl,Sch Spd Limit,Truck Spd Limit
0,0.175,330D960001,36,1,30,2,7,-10,2,0,-10,-10
0,0.136,330D968001,30,1,-10,2,7,-10,2,0,-10,-10
0,0.192,330D971001,28,1,-10,2,7,-10,2,0,-10,-10
0,0.085,330D987001,100,1,-10,2,9,-10,2,0,-10,-10
0,0.121,330D993001,32,1,25,2,0,-10,2,0,-10,-10
0,0.217,330E021001,36,1,-10,2,7,-10,2,0,-10,-10
0,0.046,330E028001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.133,330E039001,32,1,25,2,7,1,2,0,-10,-10
0,0.398,330E061001,32,1,25,2,0,-10,2,0,-10,-10
0,0.121,330E072001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.26,330E079001,36,1,-10,2,0,-10,2,0,-10,-10
0,0.054,330E091001,24,1,-10,2,7,-10,2,0,-10,-10
0,0.059,330E094001,28,1,25,2,7,-10,2,0,-10,-10
0,0.066,330E097001,36,1,-10,2,0,-10,2,0,-10,-10
0,0.078,330E115001,36,1,25,2,7,-10,2,0,-10,-10
0,0.2,330E139001,36,1,25,2,0,-10,2,0,-10,-10
0,0.225,330E149001,32,1,-10,2,0,-10,2,0,-10,-10
0,0.469,330E162001,32,1,30,2,0,-10,2,0,-10,-10
0,0.228,330E176001,36,1,20,2,7,-10,2,0,-10,-10
0,0.262,330E196001,28,1,-10,2,0,-10,2,0,-10,-10
0,0.228,330E201001,32,1,-10,2,0,-10,2,0,-10,-10
0,0.133,330E202001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.248,330E291001,76,1,-10,2,0,-10,2,0,-10,-10
0,0.112,330E313001,28,1,-10,2,7,-10,2,0,-10,-10
0,0.16,330E348001,36,1,-10,2,0,-10,2,0,-10,-10
0,0.21,330E349001,34,1,-10,2,7,-10,2,0,-10,-10
0,0.072,330E351001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.12,330E354001,32,1,-10,2,7,1,2,0,-10,-10
0,0.104,330E440001,32,1,-10,2,7,1,2,0,-10,-10
0,0.21,330E479001,80,1,-10,2,0,-10,2,0,-10,-10
0,0.404,330E480001,36,1,-10,2,7,-10,2,0,-10,-10
