BLM,ELM,County,Route,Sp. Case,Co. Seq.,Road_Name,Adm. Sys.,Gov. Cont.,Func. Class,Inc Area Nbr,Urb Area Nbr,Sp Systems,Sp Systems 2,Sp Systems 3,State Aid Code,US Rte Nbr,US Rte Nbr 2,HPMS Sect ID,State Route Designation
0.37,0.56,33,3566,0,1,E 11TH ST,18,4,17,52,52,,,,,,,3.30E+11,
0.56,1.06,33,3566,0,1,E 11TH ST,18,4,17,52,52,,,,,,,,
0,0.108,33,3570,0,1,LINDBERGH ST,16,4,16,52,52,30,,,,,,,
0.108,0.18,33,3570,0,1,HOLTZCLAW AVE,16,4,16,52,52,30,,,,,,,
0.18,0.69,33,3570,0,1,HOLTZCLAW AVE,16,4,16,52,52,30,,,,,,3.30E+11,
0,0.303,33,3572,0,1,4TH AVE,18,4,17,52,52,,,,,,,3.30E+11,
0.303,0.31,33,3572,0,1,E 34TH ST,18,4,17,52,52,,,,,,,3.30E+11,
0.31,0.81,33,3572,0,1,4TH AVE,18,4,17,52,52,,,,,,,3.30E+11,
0.81,1.2,33,3572,0,1,4TH AVE,18,4,16,52,52,,,,,,,,
0,0.1,33,3573,0,1,4TH AVE,18,4,16,52,52,,,,,,,,
0.1,0.467,33,3573,0,1,KELLY ST,18,4,16,52,52,,,,,,,,
0.467,0.547,33,3573,0,1,E 17TH ST,18,4,16,52,52,,,,,,,,
0.547,0.67,33,3573,0,1,S WILLOW ST,18,4,16,52,52,,,,,,,,
0,0.18,33,3574,0,1,E 38TH ST,18,4,17,52,52,,,,,,,,
0.18,0.196,33,3574,0,1,7TH AVE,18,4,17,52,52,,,,,,,,
0.196,0.61,33,3574,0,1,E 37TH ST,18,4,17,52,52,,,,,,,,
0.61,0.962,33,3574,0,1,E 37TH ST,18,4,16,52,52,,,,,,,,
0.962,1.73,33,3574,0,1,E 38TH ST,18,4,16,52,52,,,,,,,,
1.73,2.19,33,3574,0,1,W 38TH ST,18,4,16,52,52,,,,,,,,
0,1.299,33,3576,0,1,JOHN ROSS RD,18,4,16,89,52,,,,,,,,
1.299,1.72,33,3576,0,1,JOHN ROSS RD,18,4,16,52,52,,,,,,,,
0,0.812,33,3577,0,1,S GERMANTOWN RD,18,4,16,89,52,,,,,,,3.30E+11,
0.812,1.65,33,3577,0,1,S GERMANTOWN RD,18,4,16,52,52,,,,,,,,
1.65,2.525,33,3577,0,1,N GERMANTOWN RD,18,4,16,52,52,,,,,,,,
2.525,4.92,33,3577,0,1,TUNNEL BLVD,18,4,16,52,52,,,,,,,,
4.92,5.64,33,3577,0,1,NEW YORK AVE,18,4,17,52,52,,,,,,,3.30E+11,
0,0.789,33,3578,0,1,S MOORE RD,18,4,16,89,52,,,,,,,,
0.789,0.975,33,3578,0,1,S MOORE RD,18,4,16,52,52,,,,,,,,
0.975,1.3,33,3578,0,1,S MOORE RD,18,4,16,52,52,,,,,,,3.30E+11,
1.3,3.67,33,3578,0,1,N MOORE RD,18,4,16,52,52,,,,,,,,
0,0.23,33,3580,0,1,SHALLOWFORD RD,18,4,14,52,52,,,,,,,3.30E+11,
0.23,0.36,33,3580,0,1,SHALLOWFORD RD,18,4,14,52,52,,,,,,,3.30E+11,
0.36,1.78,33,3580,0,1,SHALLOWFORD RD,18,4,14,52,52,,,,,,,,
1.78,2.18,33,3580,0,1,SHALLOWFORD RD,18,4,14,52,52,,,,,,,3.30E+11,
0,0.65,33,3582,0,1,SHALLOWFORD RD,18,4,16,52,52,,,,,,,,
0.65,2.775,33,3582,0,1,MORRIS HILL RD,18,4,16,52,52,,,,,,,,
0,0.11,33,3584,0,1,LULA LAKE RD,18,4,16,172,52,,,,,,,,
0,0.455,33,3587,0,1,ASHLAND TER ,18,4,16,241,52,,,,,,,,
0.455,1.79,33,3587,0,1,ASHLAND TER ,18,4,16,52,52,,,,,,,,
0,0.75,33,3588,0,1,HIXSON PK,16,4,14,52,52,30,,,,,,,
0.75,1.53,33,3588,0,1,HIXSON PK,16,4,14,52,52,30,,,,,,3.30E+11,
1.53,2.66,33,3588,0,1,HIXSON PK,16,4,14,52,52,30,,,,,,3.30E+11,
2.66,4.31,33,3588,0,1,HIXSON PK,16,4,14,52,52,30,,,,,,,
0,0.35,33,3589,0,1,BARTON AVE,16,4,14,52,52,30,,,,,,,
0.35,0.78,33,3589,0,1,BARTON AVE,16,4,14,52,52,30,,,,,,3.30E+11,
0.78,0.905,33,3589,0,1,HIXSON PK,16,4,14,52,52,30,,,,,,3.30E+11,
0.905,2.38,33,3589,0,1,HIXSON PK,16,4,14,52,52,30,,,,,,,
0,0.581,33,3590,0,1,N MARKET ST,18,4,16,52,52,,,,,,,,
0.581,0.86,33,3590,0,1,DALLAS RD,18,4,16,52,52,,,,,,,,
0.86,1.32,33,3590,0,1,DALLAS RD,18,4,16,52,52,,,,,,,3.30E+11,
1.32,1.697,33,3590,0,1,DALLAS RD,18,4,16,52,52,,,,,,,,
1.697,1.895,33,3590,0,1,FERNWAY RD,18,4,16,52,52,,,,,,,,
1.895,2.01,33,3590,0,1,FERNWAY RD,18,4,16,52,52,,,,,,,3.30E+11,
2.01,2.05,33,3590,0,1,FERNWAY RD,18,4,16,52,52,,,,,,,,
0,0.837,33,3591,0,1,MIDDLE VALLEY RD,18,4,16,52,52,22,,,33003,,,,
0.837,3.74,33,3591,0,1,MIDDLE VALLEY RD,18,2,16,,52,22,,,33003,,,,
3.74,4.14,33,3591,0,1,MIDDLE VALLEY RD,18,2,16,,52,,,,,,,,
4.14,4.95,33,3591,0,1,WALNUT RD,18,2,16,,52,,,,,,,,
0,0.064,33,3592,0,1,AUSTIN RD,18,4,17,52,52,,,,,,,,
0.064,0.369,33,3592,0,1,OLD HIXSON PK,18,4,17,52,52,,,,,,,,
0.369,0.567,33,3592,0,1,GADD RD,18,4,17,52,52,,,,,,,3.30E+11,
0.567,1.167,33,3592,0,1,GADD RD,18,4,17,52,52,,,,,,,3.30E+11,
0,2.02,33,3593,0,1,NORCROSS RD,18,4,16,52,52,,,,,,,,
2.02,2.227,33,3593,0,1,GADD RD ,18,4,16,52,52,,,,,,,,
0,1.62,33,3594,0,1,MOUNTAIN CREEK RD,18,4,16,52,52,,,,,,,,
1.62,2.26,33,3594,0,1,MOUNTAIN CREEK RD,18,4,18,52,52,,,,,,,3.30E+11,
2.26,2.3,33,3594,0,1,MOUNTAIN CREEK RD,18,4,18,52,52,,,,,,,,
2.3,3.32,33,3594,0,1,MOUNTAIN CREEK RD,18,4,18,52,52,,,,,,,3.30E+11,
3.32,3.85,33,3594,0,1,MOUNTAIN CREEK RD,18,4,18,52,52,,,,,,,,
3.85,4.28,33,3594,0,1,MOUNTAIN CREEK RD,18,4,18,52,52,,,,,,,3.30E+11,
4.28,4.44,33,3594,0,1,MOUNTAIN CREEK RD,18,4,18,52,52,,,,,,,,
0,0.17,33,3595,0,1,MORRISON SPRINGS RD,18,4,16,52,52,,,,,,,,
0.17,0.86,33,3595,0,1,MORRISON SPRINGS RD,18,4,16,241,52,,,,,,,,
0.86,1.32,33,3595,0,1,MORRISON SPRINGS RD,18,4,16,241,52,,,,,,,3.30E+11,
0,0.38,33,3596,0,1,MEMORIAL DR,18,4,16,241,52,,,,,,,3.30E+11,
0.38,0.614,33,3596,0,1,MEMORIAL DR,18,4,16,241,52,,,,,,,,
0.614,0.662,33,3596,0,1,MEMORIAL DR,18,4,16,52,52,,,,,,,,
0.662,0.699,33,3596,0,1,HIGHPOINT DR,18,4,16,52,52,,,,,,,,
0.699,0.709,33,3596,0,1,HIGHPOINT DR,18,4,16,241,52,,,,,,,,
0.709,0.815,33,3596,0,1,ALTAMONT RD,18,4,16,241,52,,,,,,,,
0.815,1.28,33,3596,0,1,ALTAMONT RD,18,4,16,52,52,,,,,,,,
0,0.61,33,3597,0,1,WEBB RD,18,4,17,52,52,,,,,,,3.30E+11,
0.61,2.126,33,3597,0,1,WEBB RD,18,4,17,52,52,,,,,,,,
2.126,2.264,33,3597,0,1,WEBB RD,18,2,17,,52,,,,,,,,
2.264,2.28,33,3597,0,1,WEBB RD,18,4,17,52,52,,,,,,,,
2.28,2.67,33,3597,0,1,CHAMPION RD,18,4,17,52,52,,,,,,,,
0,0.14,33,3598,0,1,AMNICOLA HWY,18,4,18,52,52,,,,,,,,
0.14,0.206,33,3598,0,1,AMNICOLA HWY,18,4,18,52,52,,,,,,,3.30E+11,
0.206,0.533,33,3598,0,1,KINGS POINT RD,18,4,18,52,52,,,,,,,3.30E+11,
0.533,0.702,33,3598,0,1,HARRISON PK,18,4,18,52,52,,,,,,,3.30E+11,
0.702,2.49,33,3598,0,1,KINGS RD,18,4,18,52,52,,,,,,,3.30E+11,
0,0.41,33,3599,0,1,WILDER ST,18,4,17,52,52,,,,,,,,
0.41,0.68,33,3599,0,1,WILDER ST,18,4,17,52,52,,,,,,,3.30E+11,
0.68,0.91,33,3599,0,1,WILDER ST,18,4,17,52,52,,,,,,,,
0,1.72,33,3600,0,1,LIGHTFOOT MILL RD,18,4,17,52,52,,,,,,,,
0,0.4,33,3601,0,1,JERSEY PK,18,4,16,52,52,,,,,,,3.30E+11,
0.4,0.74,33,3601,0,1,JERSEY PK,18,4,16,52,52,,,,,,,,
0.74,1.33,33,3601,0,1,JERSEY PK,31,4,16,52,52,,,,,,,,
1.33,2.9,33,3601,0,1,JERSEY PK,18,4,16,52,52,,,,,,,,
0,0.26,33,3602,0,1,W SHEPHERD RD,18,4,17,52,52,,,,,,,3.30E+11,
0.26,0.73,33,3602,0,1,W SHEPHERD RD,18,4,17,52,52,,,,,,,3.30E+11,
0.73,0.74,33,3602,0,1,SHEPHERD RD,18,4,17,52,52,,,,,,,3.30E+11,
0.74,0.84,33,3602,0,1,SHEPHERD RD,18,4,17,52,52,,,,,,,,
0.84,0.85,33,3602,0,1,SHEPHERD RD,25,4,17,52,52,,,,,,,,
0.85,0.9,33,3602,0,1,SHEPHERD RD,25,4,17,52,52,,,,,,,3.30E+11,
0.9,1.3,33,3602,0,1,SHEPHERD RD,25,4,17,52,52,,,,,,,3.30E+11,
1.3,1.33,33,3602,0,1,SHEPHERD RD,25,4,17,52,52,,,,,,,,
1.33,1.355,33,3602,0,1,SHEPHERD RD,25,4,17,52,52,,,,,,,3.30E+11,
1.355,1.43,33,3602,0,1,AIRPORT CONNECTOR RD,25,4,17,52,52,,,,,,,3.30E+11,
1.43,1.62,33,3602,0,1,AIRPORT CONNECTOR RD,25,4,17,52,52,,,,,,,,
0,2.23,33,3603,0,1,HICKORY VALLEY RD,18,4,16,52,52,,,,,,,,
2.23,3.758,33,3603,0,1,HICKORY VALLEY RD,18,4,16,52,52,,,,,,,3.30E+11,
