GRID_ID,Join_Count,Grid_Num,NBR_LANES,TY_TERRAIN,FUNC_CLASS,Center_Lat,Center_Long
AW-20,6,308,2,2,19,35.05102485,-85.11517949
AZ-20,5,309,2,2,18,35.05526938,-85.09312425
BA-20,1,310,2,2,19,35.05102485,-85.08577251
N-19,1,311,NA,NA,NA,35.06375845,-85.37249055
P-19,0,312,2,2,19,35.06375845,-85.35778706
Q-19,3,313,2,2,19,35.05951392,-85.35043532
T-19,15,314,2,2,19,35.06375845,-85.32838008
U-19,81,315,2,2,17,35.05951392,-85.32102834
V-19,382,316,2,2,19,35.06375845,-85.31367659
W-19,450,317,2,2,19,35.05951392,-85.30632485
X-19,85,318,2,2,19,35.06375845,-85.29897311
Y-19,4,319,2,2,19,35.05951392,-85.29162136
Z-19,1,320,2,2,19,35.06375845,-85.28426962
AA-19,183,321,4,2,14,35.05951392,-85.27691787
AB-19,34,322,2,2,19,35.06375845,-85.26956613
AC-19,33,323,2,2,19,35.05951392,-85.26221438
AD-19,97,324,2,2,19,35.06375845,-85.25486264
AE-19,26,325,2,2,19,35.05951392,-85.24751089
AF-19,23,326,2,2,19,35.06375845,-85.24015915
AG-19,42,327,2,2,19,35.05951392,-85.2328074
AH-19,30,328,2,2,19,35.06375845,-85.22545566
AI-19,4,329,2,2,19,35.05951392,-85.21810391
AJ-19,32,330,2,2,19,35.06375845,-85.21075217
AK-19,14,331,2,2,19,35.05951392,-85.20340042
AL-19,181,332,2,2,12,35.06375845,-85.19604868
AM-19,123,333,8,2,12,35.05951392,-85.18869693
AN-19,1,334,2,2,19,35.06375845,-85.18134519
AO-19,5,335,2,2,19,35.05951392,-85.17399344
AP-19,8,336,2,2,19,35.06375845,-85.1666417
AQ-19,50,337,2,2,19,35.05951392,-85.15928996
AR-19,16,338,2,2,19,35.06375845,-85.15193821
AS-19,18,339,2,2,19,35.05951392,-85.14458647
AT-19,290,340,2,2,14,35.06375845,-85.13723472
AU-19,262,341,5,2,16,35.05951392,-85.12988298
AV-19,71,342,2,2,11,35.06375845,-85.12253123
AW-19,10,343,2,2,19,35.05951392,-85.11517949
AX-19,5,344,2,2,19,35.06375845,-85.10782774
AZ-19,12,345,1,2,19,35.06375845,-85.09312425
BA-19,3,346,2,2,19,35.05951392,-85.08577251
BB-19,48,347,4,2,14,35.06375845,-85.07842076
O-18,0,348,NA,NA,NA,35.06800298,-85.36513881
P-18,2,349,1,2,19,35.07224751,-85.35778706
Q-18,3,350,2,2,19,35.06800298,-85.35043532
S-18,10,351,2,2,19,35.06800298,-85.33573183
T-18,15,352,2,2,19,35.07224751,-85.32838008
U-18,111,353,2,2,19,35.06800298,-85.32102834
V-18,59,354,2,2,19,35.07224751,-85.31367659
W-18,167,355,2,2,19,35.06800298,-85.30632485
X-18,41,356,2,2,19,35.07224751,-85.29897311
Y-18,155,357,2,2,19,35.06800298,-85.29162136
Z-18,7,358,2,2,19,35.07224751,-85.28426962
AA-18,7,359,NA,NA,NA,35.06800298,-85.27691787
AB-18,124,360,2,2,19,35.07224751,-85.26956613
AC-18,18,361,2,2,19,35.06800298,-85.26221438
AD-18,60,362,2,2,19,35.07224751,-85.25486264
AE-18,149,363,2,2,19,35.06800298,-85.24751089
AF-18,79,364,2,2,19,35.07224751,-85.24015915
AG-18,36,365,2,2,19,35.06800298,-85.2328074
AH-18,2,366,2,2,19,35.07224751,-85.22545566
AI-18,17,367,2,2,17,35.06800298,-85.21810391
AJ-18,18,368,2,2,19,35.07224751,-85.21075217
AK-18,9,369,2,2,19,35.06800298,-85.20340042
AL-18,181,370,4,2,14,35.07224751,-85.19604868
AM-18,32,371,2,2,16,35.06800298,-85.18869693
AN-18,90,372,2,2,19,35.07224751,-85.18134519
AO-18,24,373,2,2,19,35.06800298,-85.17399344
AP-18,146,374,2,2,19,35.07224751,-85.1666417
AQ-18,48,375,2,2,16,35.06800298,-85.15928996
AR-18,127,376,2,2,14,35.07224751,-85.15193821
AS-18,176,377,2,2,17,35.06800298,-85.14458647
AT-18,22,378,4,2,17,35.07224751,-85.13723472
AU-18,6,379,2,2,19,35.06800298,-85.12988298
AV-18,14,380,8,2,11,35.07224751,-85.12253123
AW-18,54,381,2,2,11,35.06800298,-85.11517949
AX-18,192,382,4,2,11,35.07224751,-85.10782774
AY-18,89,383,2,2,16,35.06800298,-85.100476
AZ-18,20,384,2,2,19,35.07224751,-85.09312425
BA-18,11,385,2,2,19,35.06800298,-85.08577251
P-17,0,386,1,2,19,35.08073657,-85.35778706
Q-17,0,387,1,2,19,35.07649204,-85.35043532
S-17,0,388,2,2,19,35.07649204,-85.33573183
T-17,37,389,2,2,17,35.08073657,-85.32838008
U-17,181,390,2,2,19,35.07649204,-85.32102834
V-17,18,391,2,2,19,35.08073657,-85.31367659
W-17,64,392,2,2,19,35.07649204,-85.30632485
X-17,98,393,2,2,19,35.08073657,-85.29897311
Y-17,32,394,2,2,19,35.07649204,-85.29162136
Z-17,2,395,2,2,19,35.08073657,-85.28426962
AA-17,2,396,NA,NA,NA,35.07649204,-85.27691787
AB-17,21,397,1,2,19,35.08073657,-85.26956613
AC-17,117,398,2,2,19,35.07649204,-85.26221438
AD-17,27,399,2,2,19,35.08073657,-85.25486264
AE-17,48,400,2,2,19,35.07649204,-85.24751089
AF-17,46,401,2,2,19,35.08073657,-85.24015915
AG-17,55,402,2,2,19,35.07649204,-85.2328074
AH-17,57,403,2,2,19,35.08073657,-85.22545566
AI-17,31,404,2,2,19,35.07649204,-85.21810391
AJ-17,186,405,2,2,14,35.08073657,-85.21075217
AK-17,80,406,2,2,19,35.07649204,-85.20340042
AL-17,168,407,2,2,19,35.08073657,-85.19604868
AM-17,174,408,2,2,19,35.07649204,-85.18869693
AN-17,22,409,2,2,19,35.08073657,-85.18134519
AO-17,77,410,2,2,19,35.07649204,-85.17399344
AP-17,11,411,2,2,19,35.08073657,-85.1666417
AQ-17,16,412,2,2,14,35.07649204,-85.15928996
AR-17,58,413,2,2,17,35.08073657,-85.15193821
AS-17,3,414,2,2,17,35.07649204,-85.14458647
AT-17,1,415,NA,NA,NA,35.08073657,-85.13723472
AU-17,195,416,4,2,17,35.07649204,-85.12988298
AV-17,1,417,NA,NA,NA,35.08073657,-85.12253123
AW-17,79,418,4,2,17,35.07649204,-85.11517949
AX-17,1,419,NA,NA,NA,35.08073657,-85.10782774
AY-17,28,420,9,2,11,35.07649204,-85.100476
AZ-17,74,421,2,2,19,35.08073657,-85.09312425
BA-17,35,422,2,2,19,35.07649204,-85.08577251
BB-17,322,423,2,2,19,35.08073657,-85.07842076
BC-17,8,424,2,2,19,35.07649204,-85.07106902
BD-17,509,425,2,2,16,35.08073657,-85.06371727
P-16,0,426,1,2,19,35.08922564,-85.35778706
Q-16,0,427,1,2,19,35.08498111,-85.35043532
S-16,32,428,2,2,19,35.08498111,-85.33573183
T-16,189,429,2,2,19,35.08922564,-85.32838008
U-16,350,430,2,2,12,35.08498111,-85.32102834
W-16,8,431,2,2,19,35.08498111,-85.30632485
