Longitude,Latitude,Hour,Date
-85.247288,35.023823,6,4/20/2020
-85.294991,35.110948,7,4/20/2020
-85.256848,35.114504,8,4/20/2020
-85.110574,35.065207,9,4/20/2020
-85.295087,35.01992,9,4/20/2020
-85.178406,35.024883,10,4/20/2020
-85.24858,35.1534,10,4/20/2020
-85.24562,35.152975,10,4/20/2020
-85.107257,35.037255,10,4/20/2020
-85.27534,35.05875,11,4/20/2020
-85.199228,34.998949,11,4/20/2020
-85.199228,34.998949,11,4/20/2020
-85.27761,35.027885,11,4/20/2020
-85.276484,35.027402,11,4/20/2020
-85.110411,35.029046,11,4/20/2020
-85.27761,35.027885,11,4/20/2020
-85.27761,35.027885,11,4/20/2020
-85.313495,35.065155,12,4/20/2020
-85.241028,35.072373,12,4/20/2020
-85.23782,35.073426,12,4/20/2020
-85.23782,35.073426,12,4/20/2020
-85.238209,35.094725,13,4/20/2020
-85.313495,35.065155,13,4/20/2020
-85.313675,35.065603,13,4/20/2020
-85.238209,35.094725,13,4/20/2020
-85.248276,35.142401,13,4/20/2020
-85.111952,35.038363,13,4/20/2020
-85.248171,35.025369,13,4/20/2020
-85.06329,35.08082,13,4/20/2020
-85.282127,34.99872,14,4/20/2020
-85.282127,34.99872,14,4/20/2020
-85.282127,34.99872,14,4/20/2020
-85.105779,35.056579,14,4/20/2020
-85.287402,34.984848,15,4/20/2020
-85.299902,35.038997,15,4/20/2020
-85.18475,35.084366,16,4/20/2020
-85.18475,35.084366,16,4/20/2020
-85.18475,35.084366,16,4/20/2020
-85.252105,35.026313,17,4/20/2020
-85.260733,35.052279,17,4/20/2020
-85.148817,34.998671,17,4/20/2020
-85.208788,35.055692,18,4/20/2020
-85.208788,35.055692,18,4/20/2020
-85.369772,35.033726,18,4/20/2020
-85.229778,35.129679,18,4/20/2020
-85.229778,35.129679,18,4/20/2020
-85.229778,35.129679,18,4/20/2020
-85.287503,35.000091,19,4/20/2020
-85.287431,35.000692,19,4/20/2020
-85.287431,35.000692,19,4/20/2020
-85.289436,34.99126,20,4/20/2020
-85.289436,34.99126,20,4/20/2020
-85.289436,34.99126,20,4/20/2020
-85.088806,35.205422,21,4/20/2020
-85.275404,35.001914,21,4/20/2020
-85.264143,35.052824,3,4/21/2020
-85.01921,35.020484,4,4/21/2020
-85.031328,35.03944,5,4/21/2020
-85.363127,35.020742,7,4/21/2020
-85.066319,35.084925,8,4/21/2020
-85.291678,34.990436,9,4/21/2020
-85.129069,35.050869,10,4/21/2020
-85.212659,35.012078,11,4/21/2020
-85.212659,35.012078,11,4/21/2020
-85.212659,35.012078,11,4/21/2020
-85.267532,35.039516,11,4/21/2020
-85.227894,35.012235,12,4/21/2020
-85.277184,35.018739,12,4/21/2020
-85.058098,34.998496,12,4/21/2020
-85.28069,35.016491,12,4/21/2020
-85.16932,35.040596,12,4/21/2020
-85.005847,35.130192,13,4/21/2020
-85.025977,35.126948,13,4/21/2020
-85.005847,35.130192,13,4/21/2020
-85.310839,35.045353,13,4/21/2020
-85.24663,35.12683,14,4/21/2020
-85.12761,35.11474,14,4/21/2020
-85.238193,35.017511,14,4/21/2020
-85.365756,35.020313,14,4/21/2020
-85.153227,35.008538,15,4/21/2020
-85.150081,35.052172,16,4/21/2020
-85.147882,35.051313,16,4/21/2020
-85.149942,35.05224,16,4/21/2020
-85.14993,35.0522,16,4/21/2020
-85.235377,34.995433,16,4/21/2020
-85.236621,34.994287,16,4/21/2020
-85.235377,34.995433,16,4/21/2020
-85.235377,34.995433,16,4/21/2020
-85.05854,35.082749,17,4/21/2020
-85.042786,35.065329,17,4/21/2020
-85.239491,35.123075,17,4/21/2020
-85.042786,35.065329,18,4/21/2020
-85.042786,35.065329,18,4/21/2020
-85.241185,34.996966,18,4/21/2020
-85.322515,35.110104,19,4/21/2020
-85.368766,35.026324,19,4/21/2020
-85.202243,35.235004,19,4/21/2020
-85.20878,35.055695,20,4/21/2020
-85.263914,35.126064,22,4/21/2020
-85.293311,35.015762,22,4/21/2020
-85.293567,35.016627,22,4/21/2020
-85.293311,35.015762,22,4/21/2020
-85.128328,35.340401,5,4/22/2020
-85.134056,35.32499,6,4/22/2020
-85.138761,35.204292,6,4/22/2020
-85.144938,35.307168,6,4/22/2020
-85.049227,35.046515,9,4/22/2020
-85.059978,35.083266,9,4/22/2020
-85.049227,35.046515,10,4/22/2020
-85.317391,35.025278,10,4/22/2020
-85.243494,35.183434,10,4/22/2020
-85.286576,35.026374,11,4/22/2020
-85.154158,35.039633,11,4/22/2020
-85.249262,35.146687,11,4/22/2020
-85.252215,35.146073,11,4/22/2020
-85.252215,35.146073,11,4/22/2020
-85.174648,35.017727,12,4/22/2020
-85.205773,35.017752,12,4/22/2020
-85.205773,35.017752,12,4/22/2020
-85.205773,35.017752,12,4/22/2020
-85.347689,34.988398,12,4/22/2020
-85.344051,34.986206,12,4/22/2020
-85.268586,35.039964,12,4/22/2020
-85.150365,35.003845,13,4/22/2020
-85.31621,35.02761,13,4/22/2020
-85.237299,35.047083,14,4/22/2020
-85.207205,35.005828,17,4/22/2020
-85.24735,35.0246,17,4/22/2020
-85.126836,34.989586,17,4/22/2020
-85.126836,34.989586,17,4/22/2020
-85.126836,34.989586,17,4/22/2020
-85.190775,35.088868,18,4/22/2020
-85.19053,35.092019,18,4/22/2020
-85.222382,35.042901,19,4/22/2020
-85.239625,35.121975,19,4/22/2020
-85.238986,35.12242,19,4/22/2020
-85.238986,35.12242,19,4/22/2020
-85.063972,35.070886,20,4/22/2020
-85.283735,35.037384,21,4/22/2020
-85.28415,35.03641,21,4/22/2020
-85.284243,35.036483,21,4/22/2020
-85.284243,35.036483,21,4/22/2020
-85.2843,35.03647,21,4/22/2020
-85.28415,35.03641,21,4/22/2020
-85.284243,35.036483,21,4/22/2020
-85.28402,35.0364,21,4/22/2020
-85.28402,35.0364,21,4/22/2020
-85.283758,35.036531,21,4/22/2020
-85.217314,35.151888,23,4/22/2020
-85.1878,35.05421,23,4/22/2020
-85.17583,35.07425,23,4/22/2020
-85.17583,35.07425,23,4/22/2020
-85.17583,35.07425,23,4/22/2020
-85.214764,35.151549,23,4/22/2020
-85.273628,34.987189,23,4/22/2020
-85.208725,35.00604,0,4/23/2020
-85.173349,35.073589,1,4/23/2020
-85.187603,35.029699,1,4/23/2020
-85.264672,35.020788,4,4/23/2020
-85.385899,35.016395,6,4/23/2020
-85.199229,35.085093,6,4/23/2020
-85.153969,35.03161,7,4/23/2020
-85.254192,35.015818,8,4/23/2020
-85.254192,35.015818,8,4/23/2020
-85.254192,35.015818,8,4/23/2020
-85.254192,35.015818,8,4/23/2020
-85.254192,35.015818,8,4/23/2020
