,Unnamed: 0,Route,Longitude,Latitude,Sum_Accidents,Date,Time,Hour,Temperature,Temp_Max,Temp_Min,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,EventBefore,Event,ConditionBefore,Conditions,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Operation,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,Pavement_Width,Pavement_Type,Prediction,Probability,Log_Mile,Predictions
467,117,33SR153001,-85.177195,35.028893,38,2/25/19,0:00,0,54.03,60.68,45.75,50.36,0.87,2,0,6.71,0.35,rain,0.0127,0.1299,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,4,2,2,6,8,13,1,12,36,15,,0.7101023,0.563,1
5311,3895,33I0024002,-85.289703,35.018623,27,2/25/19,15:00,15,55.2,55.69,34.45,23.8,0.29,2,0,10,0.29,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,2,2,2,6,7,2,1,11,36,15,,0.5137002,9.528,1
4746,1540,33I0024002,-85.383202,35.018934,48,2/25/19,6:00,6,36.76,55.46,34.7,23.14,0.57,2,0,5.35,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,0,2,2,4,4,2,1,11,24,15,,0.51117414,2.945,1
2574,4337,33I0024002,-85.322207,35.029902,31,2/25/19,17:00,17,55.36,55.75,36.04,28.95,0.36,2,0,10,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,2,2,4,4,2,1,11,24,15,,0.50495,7.343,1
3567,2107,3302205001,-85.070057,35.087633,34,2/25/19,8:00,8,34.35,54.67,34.35,20.52,0.57,2,0,6.92,0.27,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,18,4,16,24,15,,0.51466805,6.149,1
3214,3396,33SR153001,-85.239439,35.12384,28,2/25/19,13:00,13,51.69,55.56,33.79,14.46,0.22,2,0,8.94,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Partly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,6,6,13,1,14,36,15,,0.6005024,8.305,1
5784,4496,33I0024002,-85.366708,35.027029,45,2/25/19,18:00,18,52.73,55.88,35.18,30.41,0.42,2,0,10,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,2,2,4,5,2,1,11,24,15,,0.50958025,4.085,1
5166,3926,33I0024002,-85.368766,35.026324,144,2/25/19,16:00,16,55.85,55.85,35.18,27.84,0.34,2,0,10,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,2,2,4,5,2,1,11,24,15,,0.5308144,3.959,1
1354,4190,33I0024002,-85.323702,35.02629,91,2/25/19,17:00,17,55.31,55.77,35.75,28.96,0.36,2,0,10,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,5,2,2,4,7,2,1,11,24,15,,0.5069282,7.082,1
4969,3010,33I0024002,-85.383202,35.018934,48,2/25/19,12:00,12,48.86,55.46,34.7,11.99,0.22,2,0,5.36,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,2,2,4,4,2,1,11,24,15,,0.5534255,2.945,1
3578,3943,33I0024002,-85.297411,35.02156,96,2/25/19,16:00,16,55.72,55.72,34.39,28.15,0.35,2,0,10,0.29,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,2,2,6,8,2,1,11,36,15,,0.5012515,8.996,1
2288,3925,33I0024002,-85.297892,35.021809,145,2/25/19,16:00,16,55.72,55.72,34.39,28.15,0.35,2,0,10,0.29,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,2,2,6,8,2,1,11,36,15,,0.5016027,8.966,1
3310,76,33I0075001,-85.163223,35.035572,47,2/25/19,0:00,0,54.03,60.56,45.61,50.37,0.87,2,0,6.85,0.35,rain,0.0126,0.1296,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,4,2,2,6,8,2,1,11,36,18,,0.77353513,5.016,1
1620,4199,33I0024002,-85.323459,35.027231,70,2/25/19,17:00,17,55.31,55.77,35.75,28.95,0.36,2,0,10,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,5,2,2,4,7,2,1,11,24,15,,0.50723857,7.148,1
354,2187,330E078001,-85.079303,35.086417,26,2/25/19,8:00,8,34.33,54.59,34.33,20.45,0.56,2,0,6.94,0.27,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,7,0,2,2,2,12,4,19,18,15,,0.60658944,0.002,1
3653,3689,33I0024002,-85.281292,35.016831,112,2/25/19,15:00,15,55.11,55.63,33.96,23.93,0.3,2,0,10,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,2,2,2,6,6,2,1,11,36,15,,0.5118374,10.02,1
4452,3306,33SR153001,-85.245876,35.137652,38,2/25/19,13:00,13,51.81,55.44,33.55,14.48,0.22,2,0,8.92,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Partly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,6,6,13,1,14,36,15,,0.6137391,9.335,1
3297,242,33I0075001,-85.193721,35.010071,26,2/25/19,0:00,0,54.05,60.79,45.96,50.37,0.87,2,0,6.76,0.35,rain,0.0128,0.1303,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,4,2,2,8,8,2,1,11,48,18,,0.5133706,2.427,1
3279,2805,33I0024002,-85.350032,35.028387,39,2/25/19,11:00,11,45.97,55.85,35.52,15.19,0.29,2,0,10,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,0,2,2,4,4,2,1,11,24,15,,0.5689009,5.06,1
2624,200,33I0075001,-85.17253,35.027345,28,2/25/19,0:00,0,54.04,60.65,45.74,50.36,0.87,2,0,6.82,0.35,rain,0.0126,0.1294,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,7,2,2,6,6,2,1,11,36,18,,0.50810176,4.247,1
