,Unnamed: 0,Route,Longitude,Latitude,Sum_Accidents,Date,Time,Hour,Temperature,Temp_Max,Temp_Min,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,EventBefore,Event,ConditionBefore,Conditions,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Operation,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,Pavement_Width,Pavement_Type,Prediction,Probability,Log_Mile,Predictions
4981,3193,33I0024002,-85.237709,35.008661,127,2/25/19,13:00,13,51.17,55.39,34.19,15.2,0.24,2,0,2.08,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,2,2,6,7,2,1,11,36,18,,0.039948672,12.981,0.0
2872,2433,3301122001,-85.151563,35.040925,26,2/25/19,9:00,9,39.64,55.12,34.35,20.0,0.45,2,0,3.4,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,18,4,14,24,15,,0.022335103,0.271,0.0
1270,5132,3305403001,-85.290524,35.041458,26,2/25/19,20:00,20,47.43,55.61,34.25,30.72,0.52,2,0,10.0,0.29,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,3,3,18,4,16,17,15,,0.3332908,1.618,0.0
3841,2359,330B809001,-85.218956,34.998857,33,2/25/19,9:00,9,39.85,55.43,34.31,19.94,0.44,2,0,3.29,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,7,0,2,2,2,12,4,19,20,15,,0.039471313,0.077,0.0
2014,4864,33SR002001,-85.06434499999999,35.084844,28,2/25/19,19:00,19,47.66,54.69,34.36,31.03,0.52,2,0,10.0,0.27,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,5,5,21,1,16,24,15,,0.31200972,20.781,0.0
988,281,3304988001,-85.15562800000001,35.024501,70,2/25/19,1:00,1,43.16,54.86,34.44,22.71,0.44,2,0,3.59,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,2,2,18,4,16,26,15,,0.0066134445,2.853,0.0
2569,473,3301122001,-85.151563,35.040925,26,2/25/19,1:00,1,43.11,54.81,34.35,22.52,0.44,2,0,3.8,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,18,4,14,24,15,,0.006944226,0.271,0.0
3484,1865,33SR002001,-85.212241,35.012306,34,2/25/19,7:00,7,35.6,55.42,34.24,21.34,0.56,2,0,2.67,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,6,6,13,1,14,36,15,,0.013446491,14.783,0.0
4079,866,33SR320001,-85.154777,35.008124,36,2/25/19,3:00,3,39.26,55.26,34.54,23.22,0.52,2,0,5.48,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,21,1,14,22,15,,0.058931794,3.4210000000000003,0.0
3029,1907,3303556001,-85.237299,35.047083,29,2/25/19,7:00,7,35.76,55.16,33.96,20.2,0.53,2,0,3.43,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,4,0,2,2,2,18,4,16,12,15,,0.014559731,2.418,0.0
5720,5414,33I0075001,-85.207205,35.005828,93,2/25/19,22:00,22,44.53,55.39,34.3,30.17,0.57,2,0,10.0,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,1,2,2,2,8,8,2,1,11,48,15,,0.3722403,1.5959999999999999,0.0
4841,1213,330A639001,-85.30835,35.031887,26,2/25/19,4:00,4,38.17,55.72,35.91,23.17,0.54,2,0,2.14,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,4,0,2,2,2,12,4,19,28,15,,0.007820934,0.28800000000000003,0.0
3506,3518,33SR153001,-85.22901800000001,35.104278,45,2/25/19,14:00,14,54.06,55.41,34.1,16.95,0.23,2,0,9.3,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,2,2,4,4,13,1,12,24,18,,0.37276247,6.775,0.0
1275,134,3303561001,-85.310664,35.052295,36,2/25/19,0:00,0,54.47,61.86,45.85,50.64,0.87,2,0,3.42,0.35,rain,0.0149,0.155,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,2,0,2,6,6,18,4,16,36,15,,0.11161194,0.45399999999999996,0.0
2151,5444,33I0024002,-85.252128,35.014375,58,2/25/19,22:00,22,44.58,55.05,34.12,30.18,0.57,2,0,10.0,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,0,2,2,6,6,2,1,11,36,18,,0.08703778,12.068,0.0
