Accident,Latitude,Longitude,Hour,DayFrame,WeekDay,WeekEnd,Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count,Probability,Prediction
,35.07028304,-85.08653273,16,4,,,758,39,6,0,7,5,,
,35.07028304,-85.08653273,20,1,,,758,39,6,0,7,5,,
,35.07028304,-85.08653273,23,1,,,758,39,6,0,7,5,,
,35.06765101,-85.07932045,0,1,,,759,40,6,0,7,5,,
,35.06765101,-85.07932045,4,1,,,759,40,6,0,7,5,,
,35.06765101,-85.07932045,8,2,,,759,40,6,0,7,5,,
,35.06765101,-85.07932045,12,3,,,759,40,6,0,7,5,,
,35.06765101,-85.07932045,16,4,,,759,40,6,0,7,5,,
,35.06765101,-85.07932045,20,1,,,759,40,6,0,7,5,,
,35.06765101,-85.07932045,23,1,,,759,40,6,0,7,5,,
,35.06501857,-85.07210865,0,1,,,760,41,6,0,0,4,,
,35.06501857,-85.07210865,4,1,,,760,41,6,0,0,4,,
,35.06501857,-85.07210865,8,2,,,760,41,6,0,0,4,,
,35.06501857,-85.07210865,12,3,,,760,41,6,0,0,4,,
,35.06501857,-85.07210865,16,4,,,760,41,6,0,0,4,,
,35.06501857,-85.07210865,20,1,,,760,41,6,0,0,4,,
,35.06501857,-85.07210865,23,1,,,760,41,6,0,0,4,,
,35.06238571,-85.06489734,0,1,,,761,42,6,0,7,5,,
,35.06238571,-85.06489734,4,1,,,761,42,6,0,7,5,,
,35.06238571,-85.06489734,8,2,,,761,42,6,0,7,5,,
,35.06238571,-85.06489734,12,3,,,761,42,6,0,7,5,,
,35.06238571,-85.06489734,16,4,,,761,42,6,0,7,5,,
,35.06238571,-85.06489734,20,1,,,761,42,6,0,7,5,,
,35.06238571,-85.06489734,23,1,,,761,42,6,0,7,5,,
,35.05975243,-85.0576865,0,1,,,762,43,6,0,0,3,,
,35.05975243,-85.0576865,4,1,,,762,43,6,0,0,3,,
,35.05975243,-85.0576865,8,2,,,762,43,6,0,0,3,,
,35.05975243,-85.0576865,12,3,,,762,43,6,0,0,3,,
,35.05975243,-85.0576865,16,4,,,762,43,6,0,0,3,,
,35.05975243,-85.0576865,20,1,,,762,43,6,0,0,3,,
,35.05975243,-85.0576865,23,1,,,762,43,6,0,0,3,,
,35.05711874,-85.05047615,0,1,,,763,44,6,0,7,3,,
,35.05711874,-85.05047615,4,1,,,763,44,6,0,7,3,,
,35.05711874,-85.05047615,8,2,,,763,44,6,0,7,3,,
,35.05711874,-85.05047615,12,3,,,763,44,6,0,7,3,,
,35.05711874,-85.05047615,16,4,,,763,44,6,0,7,3,,
,35.05711874,-85.05047615,20,1,,,763,44,6,0,7,3,,
,35.05711874,-85.05047615,23,1,,,763,44,6,0,7,3,,
,35.05448464,-85.04326627,0,1,,,764,45,6,0,7,7,,
,35.05448464,-85.04326627,4,1,,,764,45,6,0,7,7,,
,35.05448464,-85.04326627,8,2,,,764,45,6,0,7,7,,
,35.05448464,-85.04326627,12,3,,,764,45,6,0,7,7,,
,35.05448464,-85.04326627,16,4,,,764,45,6,0,7,7,,
,35.05448464,-85.04326627,20,1,,,764,45,6,0,7,7,,
,35.05448464,-85.04326627,23,1,,,764,45,6,0,7,7,,
,35.14450453,-85.27102921,0,1,,,765,13,5,0,7,18,,
,35.14450453,-85.27102921,4,1,,,765,13,5,0,7,18,,
,35.14450453,-85.27102921,8,2,,,765,13,5,0,7,18,,
,35.14450453,-85.27102921,12,3,,,765,13,5,0,7,18,,
,35.14450453,-85.27102921,16,4,,,765,13,5,0,7,18,,
,35.14450453,-85.27102921,20,1,,,765,13,5,0,7,18,,
,35.14450453,-85.27102921,23,1,,,765,13,5,0,7,18,,
,35.14188314,-85.26380407,0,1,,,766,14,5,0,7,21,,
,35.14188314,-85.26380407,4,1,,,766,14,5,0,7,21,,
,35.14188314,-85.26380407,8,2,,,766,14,5,0,7,21,,
,35.14188314,-85.26380407,12,3,,,766,14,5,0,7,21,,
,35.14188314,-85.26380407,16,4,,,766,14,5,0,7,21,,
,35.14188314,-85.26380407,20,1,,,766,14,5,0,7,21,,
,35.14188314,-85.26380407,23,1,,,766,14,5,0,7,21,,
,35.13926133,-85.25657941,0,1,,,767,15,5,0,7,22,,
,35.13926133,-85.25657941,4,1,,,767,15,5,0,7,22,,
