,BLM,ELM,Route
734,0.0,0.488,330A517001
735,0.0,0.172,330A518001
736,0.0,0.129,330A519001
737,0.0,0.183,330A520001
738,0.0,0.309,330A521001
739,0.0,0.066,330A522001
740,0.0,0.1,330A523001
741,0.0,0.13,330A524001
742,0.0,0.205,330A525001
743,0.07,0.184,330A526001
744,0.0,0.0,330A527001
745,0.138,0.138,330A529001
746,0.0,0.064,330A530001
747,0.0,0.363,330A531001
748,0.0,0.207,330A533001
749,0.0,0.162,330A535001
750,0.0,0.040999999999999995,330A536001
751,0.0,0.285,330A537001
752,0.0,0.222,330A538001
753,0.0,0.0,330A539001
754,0.0,0.146,330A540001
755,0.0,0.065,330A541001
756,0.0,0.225,330A542001
757,0.0,0.113,330A543001
758,0.0,0.447,330A544001
759,0.0,0.534,330A545001
760,0.147,0.474,330A546001
761,0.0,0.506,330A547001
762,0.0,0.083,330A548001
763,0.0,0.24,330A549001
764,0.0,0.0,330A550001
765,0.0,0.025,330A551001
766,0.0,0.507,330A552001
767,0.0,0.13699999999999998,330A553001
768,0.0,0.45399999999999996,330A554001
769,0.0,0.067,330A555001
770,0.0,0.084,330A556001
771,0.0,0.08,330A557001
772,0.0,0.094,330A558001
773,0.0,0.0,330A559001
774,0.0,0.0,330A560001
775,0.0,0.0,330A561001
776,0.0,0.079,330A562001
777,0.0,0.09,330A563001
778,0.0,0.163,330A564001
779,0.0,0.0,330A565001
780,0.0,0.37799999999999995,330A566001
781,0.0,0.249,330A567001
782,0.0,0.249,330A568001
783,0.0,0.183,330A569001
784,0.0,0.131,330A570001
785,0.0,0.10099999999999999,330A571001
786,0.0,0.284,330A572001
787,0.0,0.0,330A573001
788,0.0,0.0,330A574001
789,0.066,0.066,330A575001
790,0.0,0.0,330A576001
791,0.0,0.055,330A577001
792,0.0,0.625,330A578001
793,0.0,0.0,330A579001
794,0.0,0.503,330A580001
795,0.0,0.125,330A581001
796,0.0,0.242,330A582001
797,0.0,0.242,330A583001
798,0.0,0.154,330A585001
799,0.0,0.0,330A586001
800,0.0,0.185,330A587001
801,0.0,0.078,330A588001
802,0.0,0.502,330A589001
803,0.0,0.506,330A590001
804,0.0,0.127,330A591001
805,0.0,0.546,330A592001
806,0.0,0.473,330A593001
807,0.0,0.075,330A594001
808,0.0,0.136,330A595001
809,0.0,0.1,330A596001
810,0.0,0.174,330A597001
811,0.0,0.0,330A598001
812,0.0,0.076,330A599001
813,0.0,0.258,330A600001
814,0.0,0.441,330A601001
815,0.0,0.0,330A603001
816,0.0,0.252,330A604001
817,0.0,0.0,330A605001
818,0.0,0.134,330A606001
819,0.0,0.0,330A607001
820,0.0,0.098,330A608001
821,0.0,0.158,330A610001
822,0.0,0.151,330A611001
823,0.0,0.226,330A612001
824,0.0,0.287,330A613001
825,0.0,0.086,330A614001
826,0.314,0.314,330A615001
827,0.263,0.263,330A616001
828,0.0,0.086,330A617001
829,0.0,0.239,330A618001
830,0.0,0.16399999999999998,330A619001
831,0.0,0.06,330A620001
832,0.0,0.0,330A621001
833,0.0,0.0,330A622001
834,0.0,0.12,330A623001
835,0.0,0.0,330A624001
836,0.0,0.047,330A625001
837,0.038,0.038,330A626001
838,0.0,0.034,330A628001
839,0.0,0.147,330A629001
840,0.0,0.067,330A630001
841,0.0,0.261,330A631001
842,0.0,0.295,330A632001
843,0.0,0.391,330A633001
844,0.0,0.564,330A634001
845,0.0,0.332,330A635001
846,0.0,0.099,330A636001
847,0.0,0.11699999999999999,330A637001
848,0.0,0.06,330A638001
849,0.0,0.325,330A639001
850,0.0,0.09,330A640001
851,0.0,0.0,330A641001
852,0.0,0.99,330A642001
853,0.0,1.09,330A643001
854,0.0,0.65,330A644001
855,0.0,0.182,330A645001
856,0.063,0.49,330A646001
857,0.0,0.45299999999999996,330A647001
858,0.0,0.0,330A648001
859,0.0,0.46,330A649001
860,0.0,0.40299999999999997,330A650001
861,0.0,0.243,330A651001
862,0.0,0.0,330A652001
863,0.0,0.12,330A653001
864,0.275,0.485,330A654001
865,0.0,0.316,330A655001
866,0.0,0.067,330A656001
867,0.0,0.19,330A657001
868,0.0,0.325,330A658001
869,0.0,0.0,330A659001
870,0.0,0.43,330A660001
871,0.253,0.552,330A661001
872,0.0,0.0,330A662001
873,0.0,0.301,330A663001
874,0.0,0.046,330A665001
875,0.0,0.076,330A666001
876,0.0,0.12,330A667001
877,0.0,0.0,330A668001
878,0.0,0.151,330A669001
879,0.0,0.16399999999999998,330A671001
880,0.0,0.057999999999999996,330A673001
881,0.0,0.39,330A674001
882,0.0,0.0,330A675001
883,0.0,0.633,330A676001
884,0.0,0.721,330A677001
885,0.0,0.535,330A678001
886,0.0,0.586,330A679001
887,0.188,0.268,330A680001
888,0.0,0.377,330A681001
889,0.0,0.11599999999999999,330A682001
890,0.0,0.0,330A683001
891,0.0,0.0,330A684001
892,0.115,0.115,330A685001
893,0.0,0.063,330A686001
894,0.0,0.063,330A687001
895,0.0,0.13,330A688001
896,0.0,0.159,330A689001
897,0.0,0.18899999999999997,330A690001
898,0.0,0.205,330A691001
899,0.0,0.045,330A692001
900,0.0,0.256,330A693001
901,0.0,0.258,330A694001
