BLM,ELM,Route,ID NUMBER,Feature Type,Feature Composition
19.88,20.02,SR002,33SR002001,19,15
19.88,20.02,SR002,33SR002001,19,15
20.02,20.06,SR002,33SR002001,19,15
20.02,20.06,SR002,33SR002001,19,15
20.06,20.11,SR002,33SR002001,19,15
20.06,20.11,SR002,33SR002001,19,15
20.11,20.29,SR002,33SR002001,19,15
20.11,20.29,SR002,33SR002001,19,15
20.29,20.34,SR002,33SR002001,19,15
20.29,20.34,SR002,33SR002001,19,15
20.34,20.4,SR002,33SR002001,19,15
20.34,20.4,SR002,33SR002001,19,15
20.4,20.53,SR002,33SR002001,19,15
20.4,20.53,SR002,33SR002001,19,15
20.53,20.54,SR002,33SR002001,19,15
20.53,20.54,SR002,33SR002001,19,15
20.54,20.58,SR002,33SR002001,19,15
20.54,20.58,SR002,33SR002001,19,15
20.58,20.64,SR002,33SR002001,19,15
20.58,20.64,SR002,33SR002001,19,15
20.64,20.7,SR002,33SR002001,19,15
20.64,20.7,SR002,33SR002001,19,15
20.7,20.83,SR002,33SR002001,19,15
20.83,20.94,SR002,33SR002001,19,15
20.83,20.94,SR002,33SR002001,19,15
20.94,21.54,SR002,33SR002001,19,15
20.94,21.54,SR002,33SR002001,19,15
21.54,21.62,SR002,33SR002001,19,15
21.54,21.62,SR002,33SR002001,19,15
21.62,24.42,SR002,33SR002001,19,15
0,0.27,SR008,33SR008001,19,15
0,0.27,SR008,33SR008001,19,15
0.27,0.45,SR008,33SR008001,19,15
0.27,0.45,SR008,33SR008001,19,15
0.45,0.6,SR008,33SR008001,19,15
0.45,0.6,SR008,33SR008001,19,15
0.6,0.73,SR008,33SR008001,19,15
0.6,0.73,SR008,33SR008001,19,15
0.73,0.92,SR008,33SR008001,19,15
0.73,0.92,SR008,33SR008001,19,15
0.92,1,SR008,33SR008001,19,15
0.92,1,SR008,33SR008001,19,15
1,1.13,SR008,33SR008001,19,15
1,1.13,SR008,33SR008001,19,15
1.13,3.129,SR008,33SR008001,19,15
1.13,3.129,SR008,33SR008001,19,15
3.129,3.23,SR008,33SR008001,19,15
3.129,3.23,SR008,33SR008001,19,15
3.23,3.33,SR008,33SR008001,19,15
3.23,3.33,SR008,33SR008001,19,15
3.33,3.479,SR008,33SR008001,19,15
3.479,3.61,SR008,33SR008001,19,15
3.61,3.68,SR008,33SR008001,19,15
3.61,3.68,SR008,33SR008001,19,15
3.68,4,SR008,33SR008001,19,15
4,4.24,SR008,33SR008001,19,15
4,4.24,SR008,33SR008001,19,15
4.24,4.42,SR008,33SR008001,19,15
4.42,4.52,SR008,33SR008001,19,15
4.52,4.79,SR008,33SR008001,19,15
4.79,4.91,SR008,33SR008001,19,15
4.91,4.98,SR008,33SR008001,19,15
4.91,4.98,SR008,33SR008001,19,15
4.98,5.05,SR008,33SR008001,19,15
5.05,5.25,SR008,33SR008001,19,18
5.05,5.25,SR008,33SR008001,19,18
5.25,5.26,SR008,33SR008001,19,18
5.25,5.26,SR008,33SR008001,19,18
5.26,5.28,SR008,33SR008001,19,18
5.26,5.28,SR008,33SR008001,19,18
5.28,5.33,SR008,33SR008001,19,15
5.33,5.44,SR008,33SR008001,19,15
5.44,5.58,SR008,33SR008001,19,15
5.58,5.61,SR008,33SR008001,19,15
5.58,5.61,SR008,33SR008001,19,15
5.61,5.68,SR008,33SR008001,19,15
5.61,5.68,SR008,33SR008001,19,15
5.68,5.73,SR008,33SR008001,19,15
5.68,5.73,SR008,33SR008001,19,15
5.73,6.81,SR008,33SR008001,19,15
6.81,6.98,SR008,33SR008001,19,15
6.81,6.98,SR008,33SR008001,19,15
6.98,7.34,SR008,33SR008001,19,15
7.34,7.47,SR008,33SR008001,19,15
7.34,7.47,SR008,33SR008001,19,15
7.47,7.53,SR008,33SR008001,19,18
7.47,7.53,SR008,33SR008001,19,15
7.53,7.908,SR008,33SR008001,19,15
7.908,7.966,SR008,33SR008001,19,15
7.966,8.09,SR008,33SR008001,19,15
8.09,8.269,SR008,33SR008001,19,15
8.269,8.33,SR008,33SR008001,19,15
8.269,8.33,SR008,33SR008001,19,15
