BLM,ELM,ID_NUMBER,Feat_Seq_Nbr,Feature_Type,Feat_Width,Feature_Composition
3.57,6.6,3301149001,4,20,2,4
3.57,6.6,3301149001,5,29,,40
6.6,7.65,3301149001,1,29,,40
6.6,7.65,3301149001,2,20,2,15
6.6,7.65,3301149001,3,19,20,15
6.6,7.65,3301149001,4,20,2,15
6.6,7.65,3301149001,5,29,,40
7.65,8.67,3301149001,1,29,,40
7.65,8.67,3301149001,2,20,1,15
7.65,8.67,3301149001,3,19,20,15
7.65,8.67,3301149001,4,20,1,15
7.65,8.67,3301149001,5,29,,40
8.67,9.23,3301149001,1,29,,40
8.67,9.23,3301149001,2,20,2,15
8.67,9.23,3301149001,3,19,20,15
8.67,9.23,3301149001,4,20,2,15
8.67,9.23,3301149001,5,29,,40
9.23,9.74,3301149001,1,29,,40
9.23,9.74,3301149001,2,20,1,15
9.23,9.74,3301149001,3,19,20,15
9.23,9.74,3301149001,4,20,1,15
9.23,9.74,3301149001,5,29,,40
9.74,9.83,3301149001,9,29,,40
9.74,9.83,3301149001,11,20,3,15
9.74,9.83,3301149001,13,19,24,15
9.74,9.83,3301149001,15,20,3,15
9.74,9.83,3301149001,17,29,,40
0,0.75,3301151001,8,29,,40
0,0.75,3301151001,9,20,3,5
0,0.75,3301151001,10,19,20,15
0,0.75,3301151001,12,20,3,5
0,0.75,3301151001,13,29,,40
0.75,0.82,3301151001,9,29,,40
0.75,0.82,3301151001,11,20,8,15
0.75,0.82,3301151001,13,19,22,15
0.75,0.82,3301151001,15,20,8,15
0.75,0.82,3301151001,17,29,,40
0.82,1.39,3301151001,9,29,,40
0.82,1.39,3301151001,11,20,3,5
0.82,1.39,3301151001,13,19,20,15
0.82,1.39,3301151001,15,20,3,5
0.82,1.39,3301151001,17,29,,40
1.39,3.95,3301151001,8,29,,40
1.39,3.95,3301151001,10,20,1,4
1.39,3.95,3301151001,11,19,20,15
1.39,3.95,3301151001,12,20,1,4
1.39,3.95,3301151001,13,29,,40
3.95,4.45,3301151001,1,29,,40
3.95,4.45,3301151001,2,20,1,4
3.95,4.45,3301151001,3,19,18,15
3.95,4.45,3301151001,4,20,1,4
3.95,4.45,3301151001,5,29,,40
4.45,4.836,3301151001,1,29,,40
4.45,4.836,3301151001,2,20,1,4
4.45,4.836,3301151001,3,19,20,15
4.45,4.836,3301151001,4,20,1,4
4.45,4.836,3301151001,5,29,,40
4.836,6,3301151001,1,29,,40
4.836,6,3301151001,2,20,2,5
4.836,6,3301151001,3,19,22,6
4.836,6,3301151001,4,20,2,5
4.836,6,3301151001,5,29,,40
0,0.12,3301151002,8,29,,40
0,0.12,3301151002,9,20,2,4
0,0.12,3301151002,10,19,16,6
0,0.12,3301151002,12,20,2,4
0,0.12,3301151002,13,29,,40
0,0.95,3301406001,1,29,,42
0,0.95,3301406001,2,20,2,15
0,0.95,3301406001,4,19,24,15
0,0.95,3301406001,7,5,12,15
0,0.95,3301406001,10,19,24,15
0,0.95,3301406001,12,20,2,15
0,0.95,3301406001,13,29,,43
0.95,2.16,3301406001,1,29,,42
0.95,2.16,3301406001,2,19,24,15
0.95,2.16,3301406001,3,5,12,15
0.95,2.16,3301406001,4,19,24,15
0.95,2.16,3301406001,5,29,,42
2.16,2.95,3301406001,1,29,,43
2.16,2.95,3301406001,4,19,24,15
2.16,2.95,3301406001,7,5,12,15
2.16,2.95,3301406001,10,19,24,15
2.16,2.95,3301406001,13,29,,43
2.95,3.12,3301406001,9,29,,43
2.95,3.12,3301406001,11,19,22,15
2.95,3.12,3301406001,13,5,10,15
2.95,3.12,3301406001,15,19,22,15
2.95,3.12,3301406001,16,20,8,15
2.95,3.12,3301406001,17,29,,43
3.12,3.527,3301406001,1,29,,43
3.12,3.527,3301406001,2,19,24,15
3.12,3.527,3301406001,3,5,12,15
3.12,3.527,3301406001,4,19,24,15
3.12,3.527,3301406001,5,29,,43
3.527,3.959,3301406001,1,29,,42
3.527,3.959,3301406001,4,19,23,15
3.527,3.959,3301406001,7,5,11,15
3.527,3.959,3301406001,10,19,26,15
3.527,3.959,3301406001,13,29,,43
3.959,4.28,3301406001,8,29,,40
