Index,GridBlock,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
125,173,0,0,0,0,0,0,0,4,5,0,0,1,2,0,4,1,3,1,0,0,0,0,0,0
126,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
127,177,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
128,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
129,179,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,2,0,0,0,0,0
130,187,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0
131,188,0,1,0,0,0,0,2,1,2,2,0,1,0,2,0,4,2,0,0,0,0,0,0,0
132,189,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0,1,0,1,0,0,0,0
133,190,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,2,2,0,1,0,0,0,0
134,191,0,0,0,0,0,0,0,0,1,0,1,0,4,0,2,2,2,0,0,1,0,0,0,0
135,192,2,0,0,0,0,1,1,2,0,1,0,1,2,2,3,3,3,2,0,1,0,0,0,1
136,193,0,0,0,0,0,0,0,6,0,5,0,0,1,0,1,0,1,0,0,0,0,0,0,0
137,194,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,0,0,0,0,0,0
138,195,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,7,1,1,1,0,0,0,0,0
139,196,0,0,0,0,0,0,0,3,2,4,3,4,0,2,4,2,4,1,0,0,0,0,0,0
140,198,0,0,0,0,0,2,4,2,0,0,1,1,0,1,0,0,2,0,1,0,0,0,0,0
141,199,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
142,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
143,201,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
144,202,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
145,203,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
146,204,0,0,0,0,0,0,1,0,0,1,1,0,1,2,2,5,1,1,1,1,1,0,0,0
147,205,0,0,0,0,0,0,1,0,2,1,0,0,0,0,3,3,5,1,0,2,0,0,0,0
148,206,0,2,0,0,0,1,1,8,5,0,0,0,1,3,2,1,2,6,1,1,0,0,0,2
149,208,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
150,210,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,2,0,0,0,1,0,0
151,211,0,0,0,0,0,0,0,1,2,2,0,1,5,2,2,8,5,1,3,3,2,1,0,0
152,212,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
153,213,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
154,214,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
155,220,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
156,221,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
157,222,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0
158,223,0,1,0,0,0,0,0,1,0,1,2,0,0,0,1,2,0,1,5,0,1,1,0,0
159,224,0,0,0,0,0,0,0,1,3,1,0,3,5,6,5,4,8,6,1,3,0,1,0,0
160,225,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,1,0,4,1,0,0,0,0,0
161,226,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,227,0,0,0,1,1,0,0,1,0,1,0,1,2,0,2,2,2,2,1,0,0,0,0,0
163,228,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,229,0,0,0,1,0,0,0,0,1,1,0,0,0,3,2,2,0,0,1,1,0,0,1,0
165,230,0,3,0,1,0,1,0,0,0,0,3,0,2,0,1,4,9,4,0,0,0,0,0,0
166,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
167,232,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
168,233,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,3,0,0,0,0,0,0
169,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
170,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
171,236,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0
172,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
173,239,1,0,0,0,0,0,2,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0
174,240,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
175,241,1,1,0,0,0,0,1,0,5,3,2,1,5,0,6,6,3,6,1,0,0,0,1,1
176,242,0,0,0,0,0,1,0,3,1,0,3,0,2,1,3,5,6,6,9,2,1,0,0,0
177,243,0,0,1,0,0,0,1,0,5,0,1,0,3,0,1,3,0,3,2,0,0,0,0,0
178,244,0,3,0,0,0,0,0,4,3,1,5,0,1,2,0,0,3,1,2,1,1,1,0,0
179,245,0,1,0,0,0,0,0,1,3,0,2,0,3,3,1,2,2,5,0,0,1,0,0,0
