Hour,DayFrame,WeekDay,WeekEnd,Clear,Cloudy,Rain,Foggy,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count,Unix,precipIntensity,humidity,Prediction,Probability
12,3,0,1,0,0,1,0,0,1,26,14,25,1,5,1,1517763600,0.006,0.89,0,0.00045165419578552246
16,4,0,1,0,1,0,0,0,0,26,14,25,1,5,1,1517778000,0.0,0.84,0,0.0004544556140899658
20,1,0,1,0,1,0,0,0,0,26,14,25,1,5,1,1517792400,0.0,0.77,0,0.00045490264892578125
23,1,0,1,0,1,0,0,0,0,26,14,25,1,5,1,1517803200,0.0,0.82,0,0.00045546889305114746
0,1,0,1,0,1,0,0,0,0,27,15,25,0,4,9,1517720400,0.0,0.36,1,0.9998694062232971
4,1,0,1,0,0,1,0,0,1,27,15,25,0,4,9,1517734800,0.048,0.79,1,0.9998693466186523
8,2,0,1,0,0,1,0,0,1,27,15,25,0,4,9,1517749200,0.165,0.89,1,0.9998692274093628
12,3,0,1,0,0,1,0,0,1,27,15,25,0,4,9,1517763600,0.006,0.89,1,0.9998693466186523
16,4,0,1,0,1,0,0,0,0,27,15,25,0,4,9,1517778000,0.0,0.84,1,0.9998694062232971
20,1,0,1,0,1,0,0,0,0,27,15,25,0,4,9,1517792400,0.0,0.77,1,0.9998694062232971
23,1,0,1,0,1,0,0,0,0,27,15,25,0,4,9,1517803200,0.0,0.82,1,0.9998693466186523
0,1,0,1,0,1,0,0,0,0,28,16,25,0,5,10,1517720400,0.0,0.36,1,0.9998691082000732
4,1,0,1,0,0,1,0,0,1,28,16,25,0,5,10,1517734800,0.047,0.79,1,0.999868631362915
8,2,0,1,0,0,1,0,0,1,28,16,25,0,5,10,1517749200,0.167,0.89,1,0.9998652935028076
12,3,0,1,0,0,1,0,0,1,28,16,25,0,5,10,1517763600,0.006,0.89,1,0.9998690485954285
16,4,0,1,0,1,0,0,0,0,28,16,25,0,5,10,1517778000,0.0,0.84,1,0.9998692274093628
20,1,0,1,0,1,0,0,0,0,28,16,25,0,5,10,1517792400,0.0,0.77,1,0.999869167804718
23,1,0,1,0,1,0,0,0,0,28,16,25,0,5,10,1517803200,0.0,0.82,1,0.999869167804718
0,1,0,1,0,1,0,0,0,0,29,17,25,0,0,1,1517720400,0.0,0.36,1,0.9998694658279419
4,1,0,1,0,0,1,0,0,1,29,17,25,0,0,1,1517734800,0.047,0.79,1,0.9998694658279419
8,2,0,1,0,0,1,0,0,1,29,17,25,0,0,1,1517749200,0.168,0.89,1,0.9998694062232971
12,3,0,1,0,0,1,0,0,1,29,17,25,0,0,1,1517763600,0.006,0.89,1,0.9998694658279419
16,4,0,1,0,1,0,0,0,0,29,17,25,0,0,1,1517778000,0.0,0.84,1,0.9998694062232971
20,1,0,1,0,1,0,0,0,0,29,17,25,0,0,1,1517792400,0.0,0.77,1,0.9998694062232971
23,1,0,1,0,1,0,0,0,0,29,17,25,0,0,1,1517803200,0.0,0.82,1,0.9998694658279419
0,1,0,1,0,1,0,0,0,0,30,18,25,0,0,9,1517720400,0.0,0.36,1,0.9998694062232971
4,1,0,1,0,0,1,0,0,1,30,18,25,0,0,9,1517734800,0.047,0.79,1,0.9998694062232971
8,2,0,1,0,0,1,0,0,1,30,18,25,0,0,9,1517749200,0.169,0.89,1,0.9998694658279419
12,3,0,1,0,0,1,0,0,1,30,18,25,0,0,9,1517763600,0.006,0.89,1,0.9998694062232971
16,4,0,1,0,1,0,0,0,0,30,18,25,0,0,9,1517778000,0.0,0.84,1,0.9998694062232971
20,1,0,1,0,1,0,0,0,0,30,18,25,0,0,9,1517792400,0.0,0.77,1,0.9998694062232971
23,1,0,1,0,1,0,0,0,0,30,18,25,0,0,9,1517803200,0.0,0.82,1,0.9998694062232971
0,1,0,1,0,1,0,0,0,0,31,19,25,0,7,18,1517720400,0.0,0.36,1,0.9978698492050171
4,1,0,1,0,0,1,0,0,1,31,19,25,0,7,18,1517734800,0.047,0.79,1,0.6284822225570679
8,2,0,1,0,0,1,0,0,1,31,19,25,0,7,18,1517749200,0.17,0.89,0,0.002220243215560913
12,3,0,1,0,0,1,0,0,1,31,19,25,0,7,18,1517763600,0.006,0.89,1,0.995396077632904
16,4,0,1,0,1,0,0,0,0,31,19,25,0,7,18,1517778000,0.0,0.84,1,0.9995498657226562
20,1,0,1,0,1,0,0,0,0,31,19,25,0,7,18,1517792400,0.0,0.77,1,0.9996007680892944
23,1,0,1,0,1,0,0,0,0,31,19,25,0,7,18,1517803200,0.0,0.82,1,0.9996544122695923
0,1,0,1,0,1,0,0,0,0,32,20,25,0,7,17,1517720400,0.0,0.36,1,0.9949795007705688
4,1,0,1,0,0,1,0,0,1,32,20,25,0,7,17,1517734800,0.044,0.8,0,0.3932822644710541
8,2,0,1,0,0,1,0,0,1,32,20,25,0,7,17,1517749200,0.171,0.9,0,0.0015774667263031006
12,3,0,1,0,0,1,0,0,1,32,20,25,0,7,17,1517763600,0.005,0.9,1,0.988868236541748
16,4,0,1,0,1,0,0,0,0,32,20,25,0,7,17,1517778000,0.0,0.85,1,0.9993076324462891
20,1,0,1,0,1,0,0,0,0,32,20,25,0,7,17,1517792400,0.0,0.77,1,0.999403715133667
23,1,0,1,0,1,0,0,0,0,32,20,25,0,7,17,1517803200,0.0,0.83,1,0.9995121955871582
0,1,0,1,0,1,0,0,0,0,33,21,25,0,7,18,1517720400,0.0,0.37,1,0.9977108240127563
4,1,0,1,0,0,1,0,0,1,33,21,25,0,7,18,1517734800,0.044,0.81,1,0.6724023818969727
8,2,0,1,0,0,1,0,0,1,33,21,25,0,7,18,1517749200,0.172,0.92,0,0.002085477113723755
12,3,0,1,0,0,1,0,0,1,33,21,25,0,7,18,1517763600,0.005,0.92,1,0.9954995512962341
16,4,0,1,0,1,0,0,0,0,33,21,25,0,7,18,1517778000,0.0,0.87,1,0.9995405673980713
20,1,0,1,0,1,0,0,0,0,33,21,25,0,7,18,1517792400,0.0,0.79,1,0.9995905160903931
23,1,0,1,0,1,0,0,0,0,33,21,25,0,7,18,1517803200,0.0,0.85,1,0.9996486902236938
0,1,0,1,0,1,0,0,0,0,34,22,25,0,7,14,1517720400,0.0,0.37,1,0.8704556226730347
4,1,0,1,0,0,1,0,0,1,34,22,25,0,7,14,1517734800,0.044,0.82,0,0.02713179588317871
8,2,0,1,0,0,1,0,0,1,34,22,25,0,7,14,1517749200,0.173,0.93,0,0.000842362642288208
12,3,0,1,0,0,1,0,0,1,34,22,25,0,7,14,1517763600,0.005,0.93,1,0.7308676242828369
16,4,0,1,0,1,0,0,0,0,34,22,25,0,7,14,1517778000,0.0,0.87,1,0.9943927526473999
20,1,0,1,0,1,0,0,0,0,34,22,25,0,7,14,1517792400,0.0,0.8,1,0.995883584022522
23,1,0,1,0,1,0,0,0,0,34,22,25,0,7,14,1517803200,0.0,0.86,1,0.9972541928291321
0,1,0,1,0,1,0,0,0,0,35,23,25,0,7,19,1517720400,0.0,0.37,1,0.9987434148788452
4,1,0,1,0,0,1,0,0,1,35,23,25,0,7,19,1517734800,0.043,0.82,1,0.870589017868042
8,2,0,1,0,0,1,0,0,1,35,23,25,0,7,19,1517749200,0.174,0.93,0,0.002751678228378296
12,3,0,1,0,0,1,0,0,1,35,23,25,0,7,19,1517763600,0.005,0.93,1,0.997792661190033
16,4,0,1,0,1,0,0,0,0,35,23,25,0,7,19,1517778000,0.0,0.87,1,0.99965500831604
20,1,0,1,0,1,0,0,0,0,35,23,25,0,7,19,1517792400,0.0,0.79,1,0.9996846914291382
23,1,0,1,0,1,0,0,0,0,35,23,25,0,7,19,1517803200,0.0,0.85,1,0.9997201561927795
0,1,0,1,0,1,0,0,0,0,36,24,25,0,7,20,1517720400,0.0,0.37,1,0.999253511428833
