Hour,DayFrame,WeekDay,WeekEnd,Clear,Cloudy,Rain,Foggy,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Land_Use_Mode,Road_Count,Unix,precipIntensity,Prediction,Probability
4,1,0,1,0,0,1,0,0,1,36,24,25,7,20,1517734800,0.043,1,0.9999308586120605
8,2,0,1,0,0,1,0,0,1,36,24,25,7,20,1517749200,0.175,1,0.999930739402771
12,3,0,1,0,0,1,0,0,1,36,24,25,7,20,1517763600,0.005,1,0.999930739402771
16,4,0,1,0,1,0,0,0,0,36,24,25,7,20,1517778000,0.0,1,0.9999307990074158
20,1,0,1,0,1,0,0,0,0,36,24,25,7,20,1517792400,0.0,1,0.9999307990074158
23,1,0,1,0,1,0,0,0,0,36,24,25,7,20,1517803200,0.0,1,0.9999307990074158
0,1,0,1,0,1,0,0,0,0,37,25,25,7,17,1517720400,0.0,1,0.9999308586120605
4,1,0,1,0,0,1,0,0,1,37,25,25,7,17,1517734800,0.043,1,0.999930739402771
8,2,0,1,0,0,1,0,0,1,37,25,25,7,17,1517749200,0.176,1,0.9999307990074158
12,3,0,1,0,0,1,0,0,1,37,25,25,7,17,1517763600,0.004,1,0.9999307990074158
16,4,0,1,0,1,0,0,0,0,37,25,25,7,17,1517778000,0.0,1,0.9999307990074158
20,1,0,1,0,1,0,0,0,0,37,25,25,7,17,1517792400,0.0,1,0.9999307990074158
23,1,0,1,0,1,0,0,0,0,37,25,25,7,17,1517803200,0.0,1,0.999930739402771
0,1,0,1,0,1,0,0,0,0,38,26,25,7,19,1517720400,0.0,1,0.999930739402771
4,1,0,1,0,0,1,0,0,1,38,26,25,7,19,1517734800,0.043,1,0.999930739402771
8,2,0,1,0,0,1,0,0,1,38,26,25,7,19,1517749200,0.178,1,0.9999308586120605
12,3,0,1,0,0,1,0,0,1,38,26,25,7,19,1517763600,0.004,1,0.9999307990074158
16,4,0,1,0,1,0,0,0,0,38,26,25,7,19,1517778000,0.0,1,0.9999308586120605
