BLM,ELM,Sp. Case,Co. Seq.,ID_NUMBER,Sub Route,Ad_Sys,Gov_Cont,Func_Class,Inc Area Nbr,Urb Area Nbr,Sp Systems,State Aid Code
0.789,0.975,0,1,3303578001,0,18,4,16,52,52,,
0.975,1.3,0,1,3303578001,0,18,4,16,52,52,,
1.3,3.67,0,1,3303578001,0,18,4,16,52,52,,
0,0.23,0,1,3303580001,0,18,4,14,52,52,,
0.23,0.36,0,1,3303580001,0,18,4,14,52,52,,
0.36,1.78,0,1,3303580001,0,18,4,14,52,52,,
1.78,2.18,0,1,3303580001,0,18,4,14,52,52,,
0,0.65,0,1,3303582001,0,18,4,16,52,52,,
0.65,2.775,0,1,3303582001,0,18,4,16,52,52,,
0,0.11,0,1,3303584001,0,18,4,16,172,52,,
0,0.455,0,1,3303587001,0,18,4,16,241,52,,
0.455,1.79,0,1,3303587001,0,18,4,16,52,52,,
0,0.75,0,1,3303588001,0,16,4,14,52,52,30,
0.75,1.53,0,1,3303588001,0,16,4,14,52,52,30,
1.53,2.66,0,1,3303588001,0,16,4,14,52,52,30,
2.66,4.31,0,1,3303588001,0,16,4,14,52,52,30,
0,0.35,0,1,3303589001,0,16,4,14,52,52,30,
0.35,0.78,0,1,3303589001,0,16,4,14,52,52,30,
0.78,0.905,0,1,3303589001,0,16,4,14,52,52,30,
0.905,2.38,0,1,3303589001,0,16,4,14,52,52,30,
0,0.581,0,1,3303590001,0,18,4,16,52,52,,
0.581,0.86,0,1,3303590001,0,18,4,16,52,52,,
0.86,1.32,0,1,3303590001,0,18,4,16,52,52,,
1.32,1.697,0,1,3303590001,0,18,4,16,52,52,,
1.697,1.895,0,1,3303590001,0,18,4,16,52,52,,
1.895,2.01,0,1,3303590001,0,18,4,16,52,52,,
2.01,2.05,0,1,3303590001,0,18,4,16,52,52,,
0,0.837,0,1,3303591001,0,18,4,16,52,52,22,33003
0.837,3.74,0,1,3303591001,0,18,2,16,,52,22,33003
3.74,4.14,0,1,3303591001,0,18,2,16,,52,,
4.14,4.95,0,1,3303591001,0,18,2,16,,52,,
0,0.064,0,1,3303592001,0,18,4,17,52,52,,
