BLM,ELM,Special Case,Co. Seq.,Feat Seq Nbr,ID_NUMBER,Feature_Type,Feat_Width,Feature_Composition,
6.174,6.7,0-NONE ,1,9,3301126001,SHOULDER (OUTSIDE),1,SOIL (DIRT),
6.174,6.7,0-NONE ,1,10,3301126001,PAVEMENT,18,ASPHALT CONCRETE,
6.174,6.7,0-NONE ,1,12,3301126001,SHOULDER (OUTSIDE),1,SOIL (DIRT),
6.174,6.7,0-NONE ,1,13,3301126001,DRAINAGE,,DITCH,
6.7,9.225,0-NONE ,1,8,3301126001,DRAINAGE,,DITCH,
6.7,9.225,0-NONE ,1,9,3301126001,SHOULDER (OUTSIDE),2,SOIL (DIRT),
6.7,9.225,0-NONE ,1,10,3301126001,PAVEMENT,20,ASPHALT CONCRETE,
6.7,9.225,0-NONE ,1,12,3301126001,SHOULDER (OUTSIDE),2,SOIL (DIRT),
6.7,9.225,0-NONE ,1,13,3301126001,DRAINAGE,,DITCH,
9.225,9.61,0-NONE ,1,8,3301126001,DRAINAGE,,DITCH,
9.225,9.61,0-NONE ,1,9,3301126001,SHOULDER (OUTSIDE),2,GRAVEL,
9.225,9.61,0-NONE ,1,10,3301126001,PAVEMENT,20,ASPHALT CONCRETE,
9.225,9.61,0-NONE ,1,12,3301126001,SHOULDER (OUTSIDE),2,GRAVEL,
9.225,9.61,0-NONE ,1,13,3301126001,DRAINAGE,,DITCH,
9.61,13.76,0-NONE ,1,8,3301126001,DRAINAGE,,DITCH,
9.61,13.76,0-NONE ,1,9,3301126001,SHOULDER (OUTSIDE),1,ASPHALT CONCRETE,
9.61,13.76,0-NONE ,1,10,3301126001,PAVEMENT,20,ASPHALT CONCRETE,
9.61,13.76,0-NONE ,1,12,3301126001,SHOULDER (OUTSIDE),1,ASPHALT CONCRETE,
9.61,13.76,0-NONE ,1,13,3301126001,DRAINAGE,,DITCH,
0,0.45,0-NONE ,1,8,3301128001,DRAINAGE,,DITCH,
0,0.45,0-NONE ,1,9,3301128001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.45,0-NONE ,1,10,3301128001,PAVEMENT,12,BITUMINOUS SURFACE TREATED,
0,0.45,0-NONE ,1,12,3301128001,SHOULDER (OUTSIDE),2,GRAVEL,
0,0.45,0-NONE ,1,13,3301128001,DRAINAGE,,DITCH,
0,0.04,0-NONE ,1,1,3301143001,DRAINAGE,,CURB AND GUTTER,
0,0.04,0-NONE ,1,2,3301143001,SHOULDER (OUTSIDE),2,PORTLAND CEMENT CONCRETE,
0,0.04,0-NONE ,1,3,3301143001,PAVEMENT,12,ASPHALT CONCRETE,
0,0.04,0-NONE ,1,4,3301143001,LEFT TURN LANE,12,ASPHALT CONCRETE,
0,0.04,0-NONE ,1,5,3301143001,PAVEMENT,11,ASPHALT CONCRETE,
0,0.04,0-NONE ,1,6,3301143001,SHOULDER (OUTSIDE),2,PORTLAND CEMENT CONCRETE,
0,0.04,0-NONE ,1,7,3301143001,DRAINAGE,,CURB AND GUTTER,
0.04,2.59,0-NONE ,1,1,3301143001,DRAINAGE,,DITCH,
0.04,2.59,0-NONE ,1,2,3301143001,SHOULDER (OUTSIDE),3,GRAVEL,
