BLM,ELM,Co. Seq.,ID_NUMBER,AADT,DHV,Peak Hour %,Drct Dist.,Pass Car %,SU Truck %,MU Truck %
3.19,4.96,1,33SR002001,9930,12,10,65,95,2,3
4.96,5.94,1,33SR002001,8730,16,14,65,95,2,3
5.94,6.21,1,33SR002001,23860,11,9,65,90,3,7
6.21,7.41,1,33SR002001,23280,11,9,65,90,3,7
7.41,7.7,1,33SR002001,9420,7,5,75,91,2,7
7.7,7.949,1,33SR002001,11400,14,12,57,92,2,6
7.949,8.59,1,33SR002001,11110,14,12,65,92,2,6
8.59,10.1,1,33SR002001,8700,12,10,65,87,4,9
10.1,10.61,1,33SR002001,17340,11,9,65,98,1,1
10.61,11.33,1,33SR002001,18470,11,9,65,98,1,1
11.33,12.47,1,33SR002001,36770,12,10,57,88,2,10
12.47,13.8,1,33SR002001,27270,10,8,65,83,3,14
13.8,14.15,1,33SR002001,31650,10,8,65,85,3,12
14.15,15.28,1,33SR002001,34380,11,9,65,87,2,11
15.28,16.97,1,33SR002001,24540,10,8,65,81,3,16
16.97,18.41,1,33SR002001,19990,11,9,53,77,4,19
18.41,20.34,1,33SR002001,11910,12,10,65,61,7,32
20.34,20.54,1,33SR002001,23940,11,9,54,81,3,16
20.54,21.14,1,33SR002001,31020,10,8,65,85,3,12
21.14,24.42,1,33SR002001,12080,13,11,65,98,1,1
0,0.95,1,33SR008001,10510,11,9,65,79,5,16
0.95,1.64,1,33SR008001,29170,10,8,65,92,2,6
1.64,3.68,1,33SR008001,19070,11,9,65,88,3,9
3.68,5.73,1,33SR008001,18440,10,8,65,98,1,1
5.73,6.21,1,33SR008001,6090,16,14,65,92,4,4
6.21,7.792,1,33SR008001,9150,13,11,65,96,2,2
7.792,8.33,1,33SR008001,10860,12,10,65,96,2,2
8.33,8.97,1,33SR008001,8640,12,10,65,94,3,3
8.97,9.41,1,33SR008001,13540,10,8,65,86,5,9
9.41,10.14,1,33SR008001,17840,11,9,65,89,4,7
10.14,11.34,1,33SR008001,15250,11,9,65,85,2,13
11.34,11.96,1,33SR008001,18010,11,9,65,87,2,11
11.96,12.305,1,33SR008001,15570,11,9,65,85,2,13
12.305,12.45,1,33SR008001,40720,11,9,62,87,3,10
12.45,13.52,1,33SR008001,27860,11,9,65,82,4,14
13.52,17.01,1,33SR008001,15340,11,9,65,68,7,25
17.01,19.46,1,33SR008001,10160,12,10,65,99,1,0
19.46,20.093,1,33SR008001,11180,12,10,65,99,1,0
20.093,22.97,1,33SR008001,7590,11,9,65,98,2,0
22.97,23.17,1,33SR008001,4810,12,10,65,97,3,0
0,1.7,1,33SR017001,11350,11,9,65,90,4,6
1.7,2.22,1,33SR017001,13700,10,8,65,92,3,5
2.22,2.54,1,33SR017001,12930,13,11,65,82,5,13
2.54,3.1,1,33SR017001,6880,11,9,65,94,4,2
3.1,3.28,1,33SR017001,5980,11,9,65,93,5,2
3.28,3.65,1,33SR017001,5210,11,9,65,92,5,3
3.65,4.8,1,33SR017001,8710,11,9,65,95,3,2
4.8,5.98,1,33SR017001,7210,11,9,65,94,4,2
5.98,7.74,1,33SR017001,14260,11,9,65,97,2,1
7.74,8.93,1,33SR017001,19430,11,9,65,98,1,1
0,1.967,1,33SR027001,4800,12,10,65,99,1,0
1.967,4,1,33SR027001,5090,11,9,65,99,1,0
4,4.68,1,33SR027001,15880,11,9,65,88,4,8
4.68,5.02,1,33SR027001,13080,11,9,65,85,5,10
5.02,5.5,1,33SR027001,14470,11,9,65,89,3,8
5.5,6.73,1,33SR027001,24560,10,8,65,82,5,13
6.73,7.93,1,33SR027001,22860,10,8,65,81,5,14
0,0.51,1,33SR029001,74890,10,8,55,93,4,3
0.51,1.55,1,33SR029001,63210,10,8,65,92,5,3
1.55,2.13,1,33SR029001,53870,10,8,65,90,6,4
2.13,5.19,1,33SR029001,32320,12,10,75,91,3,6
5.19,7.8,1,33SR029001,24990,13,11,75,88,4,8
7.8,11.06,1,33SR029001,24110,13,11,75,88,4,8
11.06,13.45,1,33SR029001,32600,12,10,72,92,2,6
13.45,16.78,1,33SR029001,34270,12,10,75,92,2,6
16.78,19.21,1,33SR029001,28890,10,8,64,91,2,7
19.21,20.72,1,33SR029001,25710,10,8,63,90,2,8
20.72,23.95,1,33SR029001,16310,11,9,60,94,2,4
23.95,30.84,1,33SR029001,13590,11,9,65,93,2,5
0,0.31,1,33SR038001,5820,12,10,65,88,3,9
