Latitude,Longitude,Hour,DayFrame,WeekDay,WeekEnd,Clear,Cloudy,Rain,Foggy,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count,time,precipIntensity,Probability,Prediction
35.07117202,-85.36216718,8,2,1,0,0,0,1,0,0,1,21,9,25,0,7,11,1555070400,0.066,0.01322338,0
35.06855614,-85.35494528,12,3,1,0,0,1,0,0,0,0,21,9,25,0,7,11,1555084800,0,0.00022476912,0
35.06593983,-85.34772384,16,4,1,0,0,1,0,0,0,0,21,9,25,0,7,11,1555099200,0,0.00097057223,0
35.06332311,-85.34050289,20,1,1,0,0,1,0,0,0,0,21,9,25,0,7,11,1555113600,0,2.1159649E-05,0
35.06070597,-85.33328241,23,1,1,0,0,1,0,0,0,0,21,9,25,0,7,11,1555124400,0,1.9490719E-05,0
35.05808841,-85.32606241,0,1,1,0,0,1,0,0,0,0,22,10,25,0,0,1,1555041600,0,2.30968E-05,0
35.05547044,-85.31884288,4,1,1,0,0,1,0,0,0,0,22,10,25,0,0,1,1555056000,0,5.2541494E-05,0
35.05285204,-85.31162382,8,2,1,0,0,0,1,0,0,1,22,10,25,0,0,1,1555070400,0.069,0.0005877018,0
35.05023323,-85.30440525,12,3,1,0,0,1,0,0,0,0,22,10,25,0,0,1,1555084800,0,0.0023949444,0
35.047614,-85.29718714,16,4,1,0,0,0,0,1,0,0,22,10,25,0,0,1,1555099200,0,0.0020882785,0
35.04499436,-85.28996952,20,1,1,0,0,1,0,0,0,0,22,10,25,0,0,1,1555113600,0,0.00018030405,0
35.0423743,-85.28275237,23,1,1,0,0,1,0,0,0,0,22,10,25,0,0,1,1555124400,0,0.00016772747,0
35.03975382,-85.27553569,0,1,1,0,0,1,0,0,0,0,23,11,25,1,0,1,1555041600,0,0.0033993125,0
35.03713292,-85.26831949,4,1,1,0,0,1,0,0,0,0,23,11,25,1,0,1,1555056000,0,0.003922075,0
35.0345116,-85.26110377,8,2,1,0,0,0,1,0,0,1,23,11,25,1,0,1,1555070400,0.073,0.00022011995,0
35.03188986,-85.25388852,12,3,1,0,0,1,0,0,0,0,23,11,25,1,0,1,1555084800,0,0.0097075105,0
35.02926772,-85.24667375,16,4,1,0,0,0,0,1,0,0,23,11,25,1,0,1,1555099200,0,0.009488285,0
35.02664515,-85.23945946,20,1,1,0,0,1,0,0,0,0,23,11,25,1,0,1,1555113600,0,0.004696965,0
35.02402217,-85.23224564,23,1,1,0,0,1,0,0,0,0,23,11,25,1,0,1,1555124400,0,0.0044973493,0
35.02139877,-85.2250323,0,1,1,0,0,1,0,0,0,0,24,12,25,1,0,1,1555041600,0,0.0027509332,0
35.01877495,-85.21781943,4,1,1,0,0,1,0,0,0,0,24,12,25,1,0,1,1555056000,0,0.0034356713,0
35.01615072,-85.21060704,8,2,1,0,0,0,1,0,0,1,24,12,25,1,0,1,1555070400,0.076,0.00010794401,0
35.01352607,-85.20339513,12,3,1,0,0,1,0,0,0,0,24,12,25,1,0,1,1555084800,0,0.00923565,0
