Updated On,Latitude,Longitude,Description,DescCode,Grid_Num
9/25/2013 13:19,35.122534,-85.297568, TRAFFIC SIGNAL,7,560
9/25/2013 13:30,35.12179,-85.296138, TRAFFIC SIGNAL,7,560
2/14/1997 14:00,35.119733,-85.289518, TRAFFIC SIGNAL,7,-1
8/12/2008 13:51,35.09468,-85.307246, TRAFFIC SIGNAL,7,-1
8/12/2008 13:43,35.088409,-85.298928, 1-WAY STOP ,1,432
8/12/2008 13:50,35.089013,-85.298279, 1-WAY STOP ,1,432
8/12/2008 13:42,35.088089,-85.288851, 1-WAY STOP ,1,433
8/8/2008 15:24,35.086267,-85.191786, TRAFFIC SIGNAL,7,447
8/8/2008 15:22,35.104876,-85.172992, 1-WAY STOP ,1,516
8/8/2008 15:18,35.099822,-85.169597, 1-WAY STOP ,1,485
