Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count
565,1,10,0,0,2
566,2,10,0,-1,-1
567,3,10,0,-1,-1
568,4,10,0,7,4
569,5,10,0,7,7
570,6,10,0,7,10
571,7,10,0,7,11
572,8,10,0,7,3
573,9,10,0,7,2
574,10,10,0,7,8
575,11,10,1,7,6
576,12,10,0,7,16
577,13,10,0,0,8
578,14,10,0,7,16
579,15,10,0,7,12
580,16,10,0,7,16
581,17,10,0,0,5
582,18,10,0,0,1
583,19,10,0,5,1
584,20,10,0,5,2
585,21,10,1,9,4
586,22,10,1,4,6
587,23,10,1,7,9
588,24,10,1,7,10
589,25,10,1,7,25
590,26,10,0,7,14
591,27,10,0,7,18
592,28,10,0,7,11
593,29,10,0,7,13
594,30,10,0,7,5
595,31,10,0,7,4
596,32,10,0,7,11
597,33,10,0,7,6
598,34,10,1,2,14
599,35,10,1,2,4
600,36,10,0,7,3
601,37,10,0,7,6
602,38,10,0,7,2
603,39,10,0,0,3
604,40,10,0,7,4
605,41,10,0,7,6
606,42,10,0,7,6
607,43,10,0,7,4
608,44,10,0,0,2
609,45,10,0,7,10
610,4,9,0,7,9
611,5,9,0,7,6
612,6,9,0,7,14
613,7,9,0,7,12
614,8,9,0,7,4
615,9,9,0,7,1
616,10,9,0,7,10
617,11,9,1,7,10
618,12,9,0,7,16
619,13,9,0,7,18
620,14,9,0,7,17
621,15,9,0,7,14
622,16,9,0,7,12
623,17,9,0,2,11
624,18,9,0,9,1
625,19,9,0,5,2
626,20,9,1,0,3
627,21,9,1,9,3
628,22,9,0,0,3
629,23,9,0,7,9
630,24,9,0,7,15
631,25,9,0,7,15
632,26,9,0,7,14
633,27,9,0,7,17
634,28,9,0,7,14
635,29,9,0,7,9
636,30,9,0,2,3
637,31,9,0,2,5
638,32,9,0,2,4
639,33,9,0,2,1
640,34,9,0,0,4
641,35,9,1,0,8
642,36,9,0,7,11
643,37,9,0,0,2
644,38,9,0,7,5
645,39,9,0,7,3
646,40,9,0,0,4
647,41,9,0,7,11
648,42,9,0,7,5
649,43,9,0,7,2
650,44,9,0,7,4
651,45,9,0,7,6
652,6,8,0,7,13
653,7,8,0,7,11
654,8,8,0,0,5
655,9,8,0,0,2
656,10,8,0,7,9
657,11,8,1,0,3
658,12,8,0,7,11
659,13,8,0,7,17
660,14,8,0,7,22
661,15,8,0,7,11
662,16,8,0,7,14
663,17,8,0,7,9
664,18,8,0,4,1
665,19,8,0,5,1
666,20,8,1,9,4
667,21,8,0,9,1
668,22,8,0,-1,-1
669,23,8,0,7,1
670,24,8,0,7,4
671,25,8,0,7,16
672,26,8,0,7,13
673,27,8,0,7,8
